	index	rating	review	Label
35	35	1.0	If your job requires dictation or a high quality mic, go elsewhere	0.0
36	36	4.0	Got it for my wife’s birthday	1.0
37	37	4.0	Since XS doesn’t have the old headphone plugs, AirPods work perfectly	1.0
38	38	4.0	More importantly she loves it	1.0
39	39	4.0	Sound effect is pretty good too	1.0
41	41	1.0	After using them for a week, I was listening to them and the right air pod went dead	0.0
43	43	1.0	So when I got home I charged them, and the next day I went to use them again and the right air bud was still dead	0.0
44	44	1.0	So I did some research, tried to reset them, and then I couldn't reconnect them to my phone at all	0.0
49	49	1.0	Apple wanted a $180 deposit to get a new set, which is MORE THAN WHAT I ORIGINALLY PAID FOR	0.0
51	51	1.0	Never had an issue with Amazon's customer service, but Apple was extremely disappointing	0.0
52	52	1.0	I won't purchase these again	0.0
53	53	5.0	They are amazing	1.0
54	54	5.0	It's as simple as just opening the case and you're in	1.0
55	55	5.0	Sound quality isn't the best for headphones at this same price but the convenience is where you will be satisfied	1.0
57	57	5.0	Can't get enough of these	1.0
58	58	5.0	The sound is improved compared to the regular apple headphones	1.0
59	59	1.0	right pod suddenly stopped working less than a week of purchasing and as well as case connectivity issues	0.0
60	60	1.0	i did not drop it or water damage it, seems to be a manufacturing defect	0.0
62	62	1.0	Do not buy	0.0
63	63	1.0	When they arrived they were in a box with not bubble wrap or anything	0.0
64	64	1.0	They connected to my phone for a few minutes and never connected again	0.0
65	65	1.0	Do not waist your money	0.0
66	66	5.0	Many customers are complaining that this is not the latest model	0.0
67	67	5.0	This is false	0.0
73	73	1.0	THIS IS NOT THE LATEST MODEL	0.0
74	74	1.0	DO NOT BUY THESE IF YOU WANT AIRPODS 2	0.0
75	75	1.0	Also, mine did not work	0.0
76	76	1.0	They never paired and I feel like Amazon is scamming people by selling these as if they were in fact the latest model	0.0
77	77	1.0	Edit: The second pair just came in and they are absolutely disgusting	0.0
78	78	1.0	If anyone at Amazon looked at these and thought it was okay to ship the product in this condition, I would be surprised	0.0
81	81	1.0	There's earwax on the headphones, dust and dirt all over the insides, and so on	0.0
82	82	1.0	I reiterate - do NOT buy this product	0.0
83	83	1.0	This is not the wireless charging model this is not even the (latest version) I bought these thinking they where the newest version 2 AirPods with charging case this is not the case	0.0
87	87	1.0	Did not work , very unimpressed with how they didn’t work the left headphone did not work at all , i didn’t drop them or anything straight out of the box and they weren’t working	0.0
88	88	4.0	Taking the Apple AirPods at face value, they're a solid headset for the money	1.0
89	89	4.0	If you already have the original, first generation AirPods and just want to upgrade, not a bad option either	1.0
90	90	4.0	The 2nd generation AirPods feature an improved software chip & runs off of BlueTooth 5	1.0
93	93	4.0	The software chip allows a faster, stronger, and more stable connection with your device(s)	1.0
101	101	4.0	Sound quality: Straight out of the box, sound is pretty solid	1.0
102	102	4.0	No crackles, static, pops, or any abnormal noises created by the more economic-friendly headsets	1.0
103	103	4.0	You have a lot more adjustability & tuning capabilities if paired on an iOS/Apple device vs using for example paired with an Android OS device	1.0
104	104	4.0	So, ultimately Apple users may or may not get a better sound quality experience	0.0
105	105	4.0	Noise cancellation: AirPods do fit fairly well in the ear without having to be jammed inside your ear canal	1.0
106	106	4.0	" Generally they create a snug fit using Apple's ""universal"" earphone design, it is one size fits most not one size fits all"	1.0
108	108	4.0	I believe only the AirPods Pro currently has an active noise cancellation utilizing two microphones but I would double-check Apple for accurate information	1.0
114	114	4.0	Apple I believe rates 5 minutes of charging time is equivalent to 1 hour of talk/listening time and 15 minutes of charging time is equivalent to 2 hours of talk/listening	1.0
116	116	4.0	Warranty: Apple provides a 1-year standard manufacturer's warranty on this product	1.0
117	117	4.0	This ONLY covers defects/defaults from the manufacturer	0.0
118	118	4.0	This will NOT cover physical and/or liquid damages to AirPods, case, or charging cable included	0.0
120	120	4.0	00 and 2 years and well worth the extra money	1.0
122	122	4.0	We get it, accidents happen	0.0
124	124	4.0	There is no additional fees or deductibles involved	1.0
127	127	4.0	You have 60 days from the original purchase date to contact Apple by providing your AirPods serial number (on outside of the box) and Apple will tell you if you're still eligible	1.0
128	128	4.0	You can renew AppleCare for another 2 years for the same fee of $29	1.0
131	131	4.0	You can go into an Apple store location and get live repair/replacement on your AirPods	1.0
133	133	4.0	Apple has allowed Android and other non-iOS devices to use AirPods since the AirPods pair/connect via BlueTooth	1.0
159	159	4.0	Apple may charge a lot of money for their products on accessories but they never fall short of being a revolutionary, well-designed, reliable product that works as advertised	1.0
160	160	1.0	I've had these air pods for a little under 2 weeks and having a very tough time connecting the air pods to my phone for calls	0.0
161	161	1.0	Multiple issues	0.0
165	165	4.0	- light,	1.0
166	166	4.0	-comfortable,	1.0
167	167	4.0	-Wonderful phone call performance (at both ends)	1.0
168	168	4.0	- great charging case	1.0
169	169	4.0	-5 hour battery life	1.0
170	170	4.0	- open design allows you to hear traffic, conversations, etc (this is a negative in noisy environments)	1.0
172	172	4.0	- will not stay in without earhooks	0.0
173	173	4.0	- Not water/sweat proof	0.0
184	184	4.0	THANK YOU AMAZON	1.0
185	185	4.0	If I had to buy just one, it would be the AirPods	1.0
187	187	3.0	I was spectacle at first buying these online and not at an Apple store, but they are the newest model of airpods	1.0
188	188	3.0	Unfortunately, the charging case that came with it, is actually the case that comes with the original airpods	0.0
189	189	3.0	The new case has the LED on the outside, not on the inside and the Bluetooth pairing button on the back, is supposed to be in the middle of the case, not any lower	0.0
190	190	3.0	These are the new airpods, however, it came with the old case for the original airpods	0.0
191	191	3.0	Although the 2nd generation AirPods came out in March 2019, improvements are merely incremental	0.0
198	198	3.0	The Apple AirPod 2 is the perennial best seller in this price range	1.0
199	199	3.0	You won’t be disappointed unless you need the awesome feature of noise cancellation	1.0
203	203	3.0	If it’s better mic quality you are after, or have hearing difficulty, the AirPods are a bit better, capturing more-subtle voice tones	1.0
210	210	3.0	This Apple model has none unless you spring for the newest $250 Pro version	0.0
214	214	3.0	If you haven’t experienced noise cancellation in headphones, or earbuds, you’ll likely be as blown away as I was	0.0
246	246	5.0	THESE ARE GREAT	1.0
248	248	5.0	First of all, they paired with my iPhone XR, almost instantly	1.0
249	249	5.0	All I had to do was have my phone open and near the AirPods, while they were still in the charging case, open the lid and within seconds they paired	1.0
250	250	5.0	It displays the charge of both the AirPods and the case on your phone, too	1.0
251	251	5.0	Super cool	1.0
253	253	5.0	The sound quality was awesome	1.0
254	254	5.0	These have a excellent Bass response, too	1.0
255	255	5.0	These were a outstanding purchase for me	1.0
256	256	5.0	I’m so glad that I patiently waited for the AirPod 2s	1.0
258	258	5.0	The original AirPods are good I have heard, but for several improvements these are even better	1.0
259	259	5.0	I definitely recommend them	1.0
260	260	5.0	I’m another satisfied listener and a very happy customer	1.0
263	263	5.0	Apple is releasing some AirPods with noise cancellation, I think that's the biggest complaint most people have: that they don't feel like they're deafened to the world around them	0.0
265	265	5.0	The sound quality is decent	1.0
266	266	5.0	I'm no audiophile so to me they sound great	1.0
268	268	5.0	Just keep track of them and you should be good to go	1.0
269	269	5.0	At first they hurt my ears so I bought some silicone covers with wingtips	0.0
270	270	5.0	" They helped the AirPods stay in my ears without moving around and ""softened"" the edges of the earphones"	1.0
272	272	5.0	The battery life is pretty good, and popping them back in the case for 10-15 minutes boosts them almost back up to full	1.0
273	273	5.0	So I'll wear them at work and then if I get up to grab a drink or use the bathroom I'll give the AirPods a quick charge and be good to go the rest of the day	1.0
275	275	5.0	They pair immediately with your iPhone and I've never had any connectivity issues or sound quality issues, so I'm very happy with my purchase	1.0
277	277	1.0	I was super excited for her, but to my surprise, as soon as the package arrived I saw there was something wrong	0.0
278	278	1.0	" Immediately looking at the box (see pictures and video) containing the ""AirPods"" I could tell this was not an original apple product (no apple logo, or serial number)"	0.0
279	279	1.0	Once I opened the colored box I could confirm that I was right on my assumption	0.0
280	280	1.0	I already contacted Amazon but I live in the Dominican Republic and I know I can't return packages to the US, so I'm stuck with some cheap knock offs, I will never use, which I paid more than 130+ Dollars	0.0
281	281	1.0	All of this is very annoying	0.0
283	283	1.0	" I'm very upset I got ""tricked"" into buying what I thought was an original product (paid in full as an original) sponsored by Amazon"	0.0
284	284	1.0	This is a waste of money	0.0
285	285	1.0	After having the AirPods for 1 week the left side decided to stop working	0.0
288	288	1.0	Don’t waste your money on these cheap no good AirPods	0.0
289	289	1.0	Right bud stop working after two months with normal use and no damage	0.0
290	290	1.0	Tried different way to reset the device still cannot make it work	0.0
292	292	1.0	Did a little bit research online, the quality control for airpods 2 is very bad	0.0
293	293	1.0	Many people reported different problems	0.0
294	294	1.0	Although the product is fine but with this quality control, buying airpods 2 is just like buying lottery	0.0
295	295	5.0	Great product	1.0
296	296	5.0	Sounds good	1.0
297	297	5.0	Connected to both my Android and iPhone	1.0
298	298	5.0	Siri works good with these	1.0
299	299	1.0	I got them and went to try them out and then one of the AirPods was broken	0.0
300	300	1.0	Will not stay in your ears	0.0
301	301	1.0	Also one will not come on now and is not charging properly	0.0
302	302	4.0	Good headphones if you Primarily work with apple products	1.0
304	304	4.0	I have bought this for my work phone - doesn't last 5 hours even when listening to at less than 50% volume	0.0
306	306	4.0	Quick Charging is good	1.0
307	307	4.0	I put in case for 15-20mins and I am good for next 3-4 hours	1.0
310	310	1.0	Very disappointed - there was almost a month long wait	0.0
311	311	1.0	I was so excited to get to mailbox after work today	1.0
313	313	5.0	Excelente	1.0
337	337	4.0	the charging case is the old case with the battery indicator light on the inside of the case	0.0
339	339	4.0	but nope, buyer beware	0.0
340	340	4.0	The air pods fit perfectly for me, and the sound is rich & full, so once my music starts playing I get over the fact that I was hood winked by seller	1.0
341	341	4.0	The transaction was excellent with the exception of the non disclosure of the old charging case	1.0
343	343	1.0	Left AirPod didn't work	0.0
348	348	1.0	So far, not so good	0.0
352	352	5.0	I also was a little worried because I saw some reviews that others left that they got fakes, but I’m telling you right now you have nothing to worry about, they are 100% real and worth your money	1.0
353	353	1.0	So first off I wanna say I do love these AirPods	1.0
355	355	1.0	I have only had mine less then 3 months and the left one has totally stopped working	0.0
356	356	1.0	The case and my phone won’t even recognize that a left one even exists	0.0
357	357	1.0	And the case seems to loose all its charge very fast	0.0
358	358	1.0	All things that should not be happening form a apple product only 3 months old	0.0
359	359	1.0	It has got very frustrating since I use them for work	0.0
360	360	1.0	If it wasn’t for all that I would have given a much higher rating	0.0
366	366	5.0	I compared them to the ones that my coworker had bought from apple and they are legit	1.0
367	367	5.0	They were NOT dirty ( I was afraid of that being an issue since I read other reviews complaining about it ) but not my case	1.0
368	368	5.0	They came super quick and nice and properly sealed	1.0
369	369	5.0	Charger, case and AirPods brand new out of the box	1.0
370	370	5.0	I’m very happy with this purchase	1.0
371	371	5.0	Have been using it 24/7 and the battery life is awesome	1.0
372	372	5.0	Can’t be happier	1.0
373	373	1.0	broke within a week	0.0
374	374	1.0	Didn't expect this kind of quality from Apple	0.0
377	377	1.0	No wireless charging	0.0
378	378	1.0	Exactly the same as the first version	0.0
379	379	1.0	Disappointed that the description did not match the product	0.0
380	380	5.0	This is my first pair of wireless headphones (coming from the lightning pods) and the convenience is literally easier than plugging in a wire for audio	1.0
382	382	5.0	The audio quality is amazing	1.0
383	383	5.0	Cranking the knob to the max and the pods handle heavy bass tracks very well in circumference while tying treble to clarity amongst very busy audio	1.0
385	385	5.0	Amazing	1.0
386	386	2.0	Very misleading	0.0
388	388	5.0	I have been an anti-Apple/Android advocate for as many years as I can remember - Until Now	0.0
390	390	5.0	These things are AWESOME	1.0
391	391	5.0	The technology in the small package is just mind blowing	1.0
392	392	5.0	I run/exercise every morning and work from home so I can use these in every aspect of my daily lift and they never seem to run out of juice	1.0
395	395	5.0	Audiophiles might stick their nose in the air but these things deliver great sound	1.0
397	397	5.0	My one complaint/recommendation for those that are worried about fitment or rigorous movement is to snag some of the Earbuddyz skins	0.0
399	399	5.0	A+ Apple	1.0
400	400	5.0	Well done	1.0
402	402	1.0	those are real airpods from the Apple store	1.0
404	404	1.0	You can’t use them if they don’t stay in your ears	0.0
405	405	1.0	I guess my ears aren’t compatible with these	0.0
406	406	1.0	They start out ok, then through natural movement (not running or bouncing), they just get really loose	0.0
407	407	1.0	Haven’t had them fall out, but when they just hang on your ears the sound is crap	0.0
408	408	1.0	I bought two pairs for my twins and my daughter has complained about using them with amazon music to where it would mess with the singers voice	0.0
409	409	1.0	I contacted the help desk and he blaimed Apple when I have already checked with Apple saying it was amazon's problem since I had bought them from Amazon	0.0
410	410	1.0	No worth the $160	0.0
411	411	1.0	I talked to Shahid from the help desk and he was absolutely no help	0.0
414	414	5.0	It’s a great product	1.0
415	415	5.0	I love my new AirPods	1.0
416	416	5.0	I was told my order would take two weeks to get to me but amazon prime is awesome and I received them within 4 days	1.0
417	417	5.0	The AirPods are the real deal	1.0
418	418	5.0	I saw some reviews about knockoffs being sent, not sure what that was about but my order was correct	1.0
419	419	5.0	They were insanely simple to connect to my phone and then I was able to have them connected to my other devices as well	1.0
420	420	5.0	The battery life is perfect too	1.0
421	421	5.0	I especially like how placing them back into the case charges them when not using them	1.0
422	422	5.0	You don’t have to actually have the case plugged into the wall to charge them	1.0
423	423	5.0	If you were thinking about upgrading to the new AirPods stop thinking and start doing	1.0
424	424	5.0	There new AirPods are everything you will ever need in a pair of headphones	1.0
426	426	1.0	They were packaged as if they were new, but as soon as I used them, they would die very fast and would disconnect randomly	0.0
427	427	1.0	Also, when talking to someone on the phone, they would send robotic or they would say I sounded weird and it would stop working and go to the phone	0.0
428	428	1.0	This is the second pair I have owned my first pair my son currently has and has zero issues	1.0
429	429	1.0	Needless to say, these are refurbished, buyer beware	0.0
430	430	5.0	these do not live up to the hype	0.0
431	431	5.0	the airpods do not fit in my ears, they don’t have any sort of noise canceling, and the most i’ve gotten out of two pairs is three months of regular use	0.0
432	432	5.0	the first pair only lasted a month	0.0
434	434	5.0	and yesterday ( May 9) the right airpod blew out	0.0
435	435	5.0	these lasted only three months	0.0
437	437	5.0	these are also technically an apple product and i am disappointed in the amount of time that these expensive listening devices last	0.0
439	439	5.0	These are the best pair of wireless earphones I ever came across, apple has definitely done it again	1.0
440	440	5.0	Being an apple fan, I love these	1.0
441	441	5.0	They are so easy to connect	1.0
443	443	5.0	All I have to do is select them in the list from the device you need them to connect and you are good to go	1.0
444	444	5.0	Another good thing is turning them on/off is easy, just remove them from the charging case and they turn on and put them back to turn them off, its simple	1.0
445	445	5.0	And like most of the earphones out there, they connect to the last device you used them with, but its easy to switch device	1.0
446	446	5.0	You have the flexibility to just use one piece, if you like and sometimes it does come handy	1.0
447	447	5.0	Another function I like is the automatic ear detection, just remove a piece from you ear and playback will pause and resume once you put it back, this does help when someone drops by for a conversation and you don't need to actually pickup your phone to pause the playback	1.0
448	448	5.0	The battery life is definitely impressive, I need to charge the case every 2 days	1.0
449	449	5.0	And it's easy to carry everywhere, it being so small	1.0
450	450	5.0	Now the sound quality is crisp and connection is smooth, I found that the 2nd gen AirPods are actually better and improved on 1st gen, but its not worth to upgrade, but if you are planning to get your first one, I would definitely say go for the 2nd gen AirPods, I got a pretty sweet deal on amazon and am very happy with my purchase	1.0
451	451	1.0	Literally just got these	1.0
452	452	1.0	The set up was super easy	1.0
453	453	1.0	The sound quality is $5 basic	1.0
454	454	1.0	Ok well maybe $10 basic	1.0
455	455	1.0	The only good thing is that they are truly wireless	1.0
456	456	1.0	I dont like how they fit in my ears	0.0
457	457	1.0	Only one AirPod work while watching YouTube videos	0.0
459	459	1.0	The base is so faint practically non existent	0.0
461	461	1.0	This price is Apple high but the quality is not good	0.0
462	462	1.0	I fell for the hype	0.0
463	463	1.0	After I use these further I will come back and update my review but as of right now I can say they are more hype than good and definitely not worth the price	0.0
464	464	1.0	Disappointed	0.0
465	465	1.0	I wanted to love these AirPods	1.0
466	466	1.0	The sound is perfect	1.0
467	467	1.0	Zero complaints with the sound quality	1.0
468	468	1.0	However, these really hurt	0.0
469	469	1.0	They should not cause you pain	0.0
470	470	1.0	When I say hurt, it is truly painful	0.0
471	471	1.0	This is not a mild discomfort	0.0
472	472	1.0	I tried to ignore it the first day, but after a few tries it is miserable	0.0
473	473	1.0	I tried barely placing them in my ear and adjusting it, it relieved some of the pain pressure but it still hurt	0.0
474	474	1.0	They keep falling out too	0.0
475	475	1.0	So if you adjust it to barely go into your ear, hopefully you are not moving around and working out because these will fall out repeatedly disrupting your workout	0.0
476	476	1.0	I am so surprised at how badly these AirPods have turned out to be	0.0
477	477	1.0	They are expensive	0.0
478	478	1.0	If I had known, I never would have spent this much money	0.0
480	480	1.0	THEY CAUSE PAIN AND FALL OUT REPEATEDLY	0.0
481	481	1.0	You would think that someone could design something better	0.0
482	482	1.0	I need to find something better	0.0
483	483	1.0	No sound is worth all of this suffering	0.0
484	484	1.0	My ears and head hurt hours after I remove these	0.0
485	485	1.0	Yes, it causes headaches	0.0
486	486	1.0	It’s so sad, because they have terrific sound and they look cool too	0.0
487	487	1.0	This is a BIG disappointment	0.0
488	488	1.0	My advice: Do NOT waste your money	0.0
489	489	4.0	I have always hate Apple earphones since they used to be inferior sound quality and and not comfortable to wear	0.0
491	491	4.0	Good sound quality considering its price, CHEAP	1.0
492	492	4.0	Highly competitive product	1.0
495	495	4.0	I used to hate all wireless earphone but now they seems improved quite a lot	1.0
501	501	4.0	Very easy to use, swip, double click and you have full control	1.0
502	502	4.0	Very little learning cost	1.0
503	503	4.0	The easist one to use by far	1.0
505	505	4.0	Good sound quality	1.0
506	506	4.0	Apple used high efficiency code to encode and decode bluetooth signal, AAC	1.0
508	508	4.0	I think they can compete with Senn CX300II or so	1.0
509	509	4.0	Great	1.0
511	511	4.0	Tiny case, premium look and just right material used	1.0
514	514	4.0	You would be very very easy to left it somewhere	0.0
515	515	4.0	As I said, I have purchased 3 times of this exact same product from Amazon	0.0
517	517	4.0	I lost it earlier last year, bought again in Black Friday and left somewhere a while befoe, it did not last more than a month	0.0
518	518	4.0	And now I am getting my latest 3rd pair	0.0
520	520	4.0	Apple should consider to provide insurance to this product	0.0
523	523	4.0	Poor noise cancellation function	0.0
524	524	4.0	I know it is only a passive NC earphone but Senn CX can do far better job than it	0.0
525	525	4.0	It just make no sense why Apple cannot improve it	0.0
529	529	4.0	Short battery life	0.0
530	530	4.0	neither of the charging case or the earphone itself	0.0
531	531	4.0	They claims 4hours battery life but in real situation, you get up to 3hours which is far from enough	0.0
532	532	4.0	For music enthuast, you should consider to have at least 2 pairs of them, then you can switch when you have to charge	0.0
535	535	4.0	But, for 139bucks, you really have an awesome deal	1.0
536	536	4.0	In a word, I recommend this product	1.0
537	537	1.0	I would highly discourage you from buying these air pods	0.0
538	538	1.0	I do not believe they are genuine Apple Air Pods	0.0
539	539	1.0	I could not get them to connect to anything	0.0
540	540	1.0	Not my iPhone, not my MacBook, nothing	0.0
541	541	1.0	I tried for two day to try connecting and no results what so ever	0.0
542	542	5.0	These earbuds have been fantastic so far	1.0
543	543	5.0	People criticize the price, but I’m sorry, there is a reason for it	1.0
544	544	5.0	I never tried the previous version, but these ones connect to my iPhone, iPad, and bluetooth transceiver almost instantly	1.0
545	545	5.0	They are very comfortable and stay in my ears with no issues	1.0
550	550	5.0	These are indeed genuine Apple products	1.0
551	551	5.0	They arrived sealed in the box, they appear to be in brand new condition, the serial numbers match/check out, and I am pleased with what I received for the price	1.0
553	553	5.0	but the CASE is in fact the *first generation*, or, the older version of this style of earbuds	0.0
554	554	5.0	That means no light on the front of the case, and no wireless charging	0.0
557	557	5.0	All of these things aside, the ad itself claims that the case itself is a 2nd generation as well, which is a straight up lie	0.0
562	562	5.0	either way, I changed my review to 5 stars so I could sleep at night	1.0
563	563	5.0	Thanks seller	1.0
564	564	1.0	These are not the newest version 😡	0.0
574	574	5.0	-Much faster connection and switching between devices than original Airpods	1.0
575	575	5.0	-Longer battery life	1.0
576	576	5.0	-Can say “Hey Siri” versus double tapping on the original Airpods	1.0
577	577	5.0	-Stylish	1.0
578	578	5.0	-Great sound and microphone works well	1.0
579	579	5.0	-Fits well in ear	1.0
580	580	5.0	-Incredibly easy to use and pair	1.0
581	581	5.0	-Charging case Charges Airpods quickly and reliably	1.0
582	582	5.0	-Can track last location of Airpods with Find iPhone	1.0
584	584	5.0	-A bit expensive but Airpods work the bets with iOS devices	0.0
585	585	5.0	The Bottom Line:	0.0
594	594	5.0	Overall, I would recommend either purchasing these latest Airpods if you have an Apple device or upgrading from the original Airpods (for the speed of connecting to your devices alone)	1.0
596	596	5.0	My Airpod 2nd generation are still going strong and would still highly recommend	1.0
597	597	2.0	These don’t sound as good as everyone makes it out to be	0.0
598	598	2.0	Bass is too damn loud, and the overall sound is not as clear as the regular headphones with the strings	0.0
603	603	5.0	These Apple Airpods are probably the best earbuds i’ve ever used	1.0
604	604	5.0	It is very useful for social media and mainly music	1.0
605	605	5.0	I consider you guys to but this because it is probably better than the first generation	1.0
607	607	5.0	I want to thank amazon for the fast delivery	1.0
609	609	1.0	I ordered these airpods, and when I opened the box (the white airpods box) there were NO AIRPODS IN IT	0.0
610	610	1.0	THE AIRPODS AND CHARGING CASE WERE GONE	0.0
611	611	1.0	It was just an empty box with the instructions manual and charging cable	0.0
616	616	1.0	It says the latest model, but it is not the latest model	0.0
623	623	5.0	they are the most robust Bluetooth connection I’ve used	1.0
624	624	5.0	They literally NEVER cut out when using under normal conditions	1.0
625	625	5.0	I bought the first generation ones because I like that they are small and white, fits perfectly under a hair net that I have to wear in clean rooms for work	1.0
626	626	5.0	Can listen to my tunes and most people won’t even notice I’m wearing em	1.0
628	628	5.0	It amazes me how solid they are	1.0
629	629	5.0	Now, I won’t use these for working out as I sweat quite a bit and I’m certain they’ll fall right out	0.0
631	631	5.0	Battery life is pretty good when they are new	1.0
634	634	5.0	When compared to the amount of charges you can get with the Zolo’s, puts the AirPods and the Bose to shame	0.0
635	635	5.0	People like to complain about the sound quality and sometimes about the lack of noise cancellation	0.0
636	636	5.0	But I find that they sound really good, granted I’m not really a sound snob	1.0
637	637	5.0	easy to please	1.0
641	641	5.0	It's also much faster at connecting to your phone and switching between devices	1.0
647	647	5.0	Is the same, cannot tell the difference	0.0
648	648	5.0	Overall great headphones	1.0
653	653	1.0	I am very disappointed and disgusted that I got a product that is dirty with someone else’s earwax without it being cleaned if someone was to wear these “new” AirPods before being shipped and packaged	0.0
658	658	5.0	After buying I had checked the reviews, a lot of reviews said they were fake	0.0
680	680	2.0	they often stop working randomly-- one ear will just stop working	0.0
682	682	2.0	most of the time they simply don't operate like standard ear buds	0.0
689	689	1.0	Sound - it's ok, really	1.0
694	694	1.0	On a plus, the microphones are very good	1.0
697	697	1.0	0) so they pair quickly and have long range, when they work (more on that later)	1.0
698	698	1.0	Battery Life - very good, a couple hours at high-ish volume on the pods and half a dozen charges per case charge	1.0
699	699	1.0	More than I need for most situations	1.0
708	708	1.0	1 Star	0.0
712	712	1.0	• Frequently can’t perform functions asked through Siri, just says “working on it” then drops	0.0
716	716	1.0	• they are worthless if you are doing anything other than sitting still in one place	0.0
717	717	1.0	They fall out of my ears constantly and if I don’t have music playing at the time I don’t always notice and have to search for them	0.0
718	718	1.0	The newer version may be better, this version is a ridiculous, inexcusable design flaw	0.0
722	722	1.0	Around Christmas time, these stopped working	0.0
725	725	1.0	That the case also does not feel like it is the same apple quality	0.0
736	736	1.0	WE ARE GETTING RIPPED OFF BY FAKES	0.0
737	737	3.0	I feel like I got scammed	0.0
758	758	5.0	— The sound quality is noticeably superior and connectivity is a dream	1.0
759	759	5.0	— The battery life is great and you can see how much power each pod has	1.0
760	760	5.0	— The case is the charger and it holds a charge for a very long time after it is unplugged	1.0
761	761	5.0	You can pop the AirPods into it and they recharge without having to be connected to anything	1.0
767	767	5.0	Every time I get a call, I think about how much I love that feature	1.0
774	774	5.0	I love them	1.0
775	775	5.0	and I mean LOVE them	1.0
779	779	5.0	They have been worth every penny	1.0
793	793	5.0	I love them	1.0
795	795	5.0	Their ability to stay connected to my phone through Bluetooth is astounding	1.0
797	797	5.0	It blew my mind	1.0
798	798	5.0	I was concerned about them falling out, but now that’s a thing of the past	1.0
799	799	5.0	They fit well and are so comfortable that sometimes I forget I have them in	1.0
801	801	5.0	That’s how comfortable they are	1.0
802	802	5.0	Hate to say it but even though their prices are pretty high, they’re so well worth it	1.0
808	808	4.0	I had not gone 100m and the left one popped out and hit the pavement	0.0
811	811	4.0	The sound quality was excellent	1.0
812	812	4.0	Not so great for excluding the ambient sound of passing cars	0.0
813	813	4.0	So, bottom line: great packaging	1.0
814	814	4.0	Long play life	1.0
815	815	4.0	Excellent sound in environments where ambient noise is around 80dB	1.0
817	817	4.0	The touch feature is great for taking phone calls	1.0
823	823	1.0	Only one pod worked	0.0
826	826	1.0	I give this entire experience the lowest marks	0.0
827	827	1.0	Be wary and buyer beware of airpods and extended warranties sold on Amazon	0.0
828	828	1.0	I normally rate things highly, but in this particular case, it did not work out for us	0.0
829	829	1.0	The description of the item is not accurate	0.0
830	830	1.0	I received the item and noticed that the charging case is actually the 2017 model which doesn't do wireless charging	0.0
832	832	1.0	Highly Disappointing	0.0
833	833	1.0	Just be aware that although the description says latest model, it really isn't	0.0
834	834	5.0	I bought these to use with my Samsung and they work great	1.0
837	837	5.0	They're very comfortable and don't fall out of my ears	1.0
839	839	5.0	Sound is also great and the bass is on point	1.0
843	843	5.0	If you have an Android and want Airpods, buy them	1.0
845	845	5.0	I got these in the mail yesterday and could not wait to use them	1.0
846	846	5.0	They’re great	1.0
852	852	5.0	Weird as hell	0.0
872	872	5.0	) Buy them	1.0
875	875	5.0	Crazy but so amazing and funny	1.0
