index	rating	review	label
6065	5.0	I have an average ear, so they fit perfectly	1
6067	5.0	They switch seamlessly between my Apple products	1
6068	5.0	If I lost them, I would purchase them again without any doubt	1
6069	5.0	They’re amazing, reliable, and stay in your ears	1
6070	5.0	The phone calls are very clear and bluetooth connects as soon as they touch your ear	1
6071	5.0	I can leave my phone downstairs while staying on a clear call upstairs	1
6072	5.0	I love it	1
6074	5.0	I thought that I would never buy AirPods, and I thought that I would tolerate them, and i frowned on people with them	0
6075	5.0	I love these	1
6076	5.0	They are so easy to use	1
6077	5.0	Pop them in your ear, the tone sounds and your call or music pops right over	1
6078	5.0	The bluetooth connectivity is great, and the range is solid	1
6079	5.0	I am super happy with the way that they stay in my ears	1
6080	5.0	In-Ear headphones were not an option for me	1
6081	5.0	I have tiny ears	0
6081	5.0	They either ache constantly or fall out	0
6082	5.0	These do neither of those things	0
6083	5.0	Suck it up, buy them	1
6084	5.0	And definitely buy them a little case with a carabiner	1
6085	5.0	They live on my car keys and I use them a ton	1
6086	3.0	The green light letting you know they have charged doesn't work	0
6087	3.0	They fit well in the ears, comfortable	1
6088	3.0	The battery life of the case goes down quicker than the ear buds themselves	0
6089	3.0	But the battery life altogether didn’t last 1, 3-hour plane ride	0
6091	3.0	I need them now so no time to ship back, get new ones, blah blah…they are fine for now	0
6092	3.0	I will purchase my next set directly from Apple so that I know they are authentic and will work correctly	1
6094	5.0	At first I wasn't a fan of wireless airpods	0
6095	5.0	I thought they were douchy and people walking around with them seemed to reflect that	1
6096	5.0	I am a true hard-wired headphone type of guy	1
6097	5.0	While I enjoy most Apple products, these are phenomenal	1
6098	5.0	I am a true audiophile and the quality of sound is very good	1
6099	5.0	I saw these priced at the Apple Store for $199, but for a bit less on Amazon, they are worth the price	0
6100	5.0	I added this to my arsenal of devices I carry and I don't mind to have yet another thing to charge and keep track of	1
6101	5.0	The AirPods also are very comfortable and emit a sound when you insert them into your ear	1
6102	5.0	The SIRI activation is also pleasant and nice	1
6103	5.0	Overall I recommend these for those who enjoy great sound quality and convenience	1
6104	3.0	I came into them all hyped	0
6105	3.0	Watched some reviews on YouTube but kept my hopes up	1
6106	3.0	The fit for my ears is mediocre at best	1
6107	3.0	Noise cancellation is nonexistent	0
6108	3.0	Charging case is a great feature	1
6109	3.0	It’s great for calls also	1
6110	3.0	Would NOT trust these in the gym at all	0
6111	3.0	They are not worth the price	0
6112	3.0	My Beats sound better but AirPods are more portable	0
6113	3.0	Guess my daughter is getting an early present	1
6114	3.0	Knocking off two stars due to concerns over long term reliability	0
6115	3.0	I've noticed they have issues connecting to my iPhone	0
6115	3.0	The battery life seems to be shortening at a much faster rate than I anticipated	0
6116	3.0	Like the title says, these earbuds are awesome	0
6117	3.0	They integrate seamlessly with both my iPhone and Mac and I can easily switch between them with no loss in functionality	1
6118	3.0	As for sound quality, they do well in that department	1
6119	3.0	They sound very similarly to the wired Apple earbuds, and along that same vain, they also fit like them too	1
6119	3.0	If the regular Apple earbuds don't fit well, these won't be much different from that	0
6120	3.0	In all, these wireless earbuds are great	1
6121	1.0	I received these headphones as a Christmas gift from a relative	1
6122	1.0	My first choice have not been Apple AirPods but Beats	0
6123	1.0	However, accepting a free gift is always fun	1
6124	1.0	UNTIL you get fake Apple headphones from a third party vendor on Amazon	0
6125	1.0	On the first connect, everything seemed fine	1
6126	1.0	I sat them down for a second and went to use them again	0
6127	1.0	My phone started freezing and glitching	0
6128	1.0	When I attempted to turn my phone off bc my phone would not disconnect from them	0
6128	1.0	I had an extremely hard time	0
6129	1.0	I connected them to another device and they did the same thing	1
6130	1.0	I went into the Apple store here recently and discovered that the serial number on the box as listed in the photo have been reprinted on tons of Apple made boxes by the third party host using “true” Apple AirPods serial numbers	0
6131	1.0	They showed me the list	1
6132	1.0	This is highly disappointing and discrediting to Apple and also Amazon	0
6133	1.0	If you purchase anything with a name brand on it especially Apple, please take your products to the main distributor to have them vip firm that you have made a legit purchase if you care about the quality of your product	0
6134	1.0	I will not be removing my review	1
6135	1.0	Please handle this accordingly	0
6136	3.0	I was so happy with these until I got my first notification	1
6137	3.0	They almost blew out my eardrums	0
6138	3.0	Researched and found the only thing you can do about this is to toggle the ""change with buttons"" under ""sounds"" on the iPhone	0
6139	3.0	This will take care of the problem UNLESS you change your volume in any other app and then it just reverts back to the ridiculously loud notifications (text, door camera, call, etc	0
6140	3.0	I need to decide if the convenience of using Siri with these things is worth my long-term hearing or if I should just send them back	0
6141	1.0	It will work for like a month but then one side stops working	0
6142	1.0	Before purchasing, I saw some other reviewers having the same issue but I hesitated to listen to them and went ahead with the purchase	0
6143	1.0	Now, I’m realizing that I should’ve listened to them	0
6144	1.0	I want to return it	0
6144	1.0	Get at least partial refund but that’s not possible before my return window has closed	0
6145	1.0	I wouldn’t recommend anyone to buy this	0
6146	1.0	What’s really disturbing is that it’s an amazon choice, which makes it sounds like it’s the original and quality version of an apple product you’re buying but instead this piece of crap is nothing but disappointment and regrets	0
6147	5.0	Sound better than I expected and very convenient	1
6148	5.0	My only complaint is that when I ordered it said I would get the latest version (AirPod 2 with H1 chip) and I received the first version AirPod	0
6149	5.0	This is not a big deal as there is apparently not much difference but I thought I would get the latest version	1
6150	5.0	Not worth going through the retuen process dealing with the Chatbot	0
6151	5.0	Update 4/5/2020 - Checked serial number and Apple says they are AirPod 2	1
6152	5.0	But it did come with the older wired charging case (I did order the wired charging case) which I don't see as a big deal although the LED on the exterior does seem a little better	0
6153	5.0	Happy with sound quality and microphone quality	1
6154	5.0	I'm upping my review to 5 stars	1
6155	5.0	Good quality product, good price, good delivery time	1
6157	1.0	These definitely belonged to someone before landing in my hands	0
6158	1.0	When I paired them it said Rita’s AirPods	0
6159	1.0	There was only two pieces of tape on the outside box and it was dirty	0
6160	1.0	The quality was terrible and the left headphone stopped working	0
6161	1.0	It’s things like this that really discourage me from ordering online	0
6163	1.0	Shameful, Amazon	0
6165	1.0	I’m a huge Apple fanboy and feel that I should have known better but didn’t notice where the charging light was until after I received them	0
6167	5.0	I didn’t know what I was missing	0
6168	5.0	I walk a couple of miles each morning and had been using corded earbuds, which I all too often would accidentally catch my hand on, or not have enough length to carry my phone in a pocket	1
6169	5.0	These eliminated those issues	1
6170	5.0	I am also working remotely and have several ZOOM meetings a week	1
6171	5.0	I have started using the Air Pods for those as well	1
6172	5.0	They’re great for working in the yard without having to keep phone in hand or pocket	1
6173	5.0	Sound is very good	1
6174	5.0	Charge time is as advertised and recharge time is quick	1
6175	5.0	Like it so much	1
6176	5.0	I can absolutely say great quality, I did two times accidents laundry with it	1
6177	5.0	After I pick them up from washer machine , I was afraid of dead AirPods	0
6178	5.0	But they still work well and perfect sounds quality	1
6179	5.0	I use it every day during working or housework, never bother my ears, can hang on all day on my ears	1
6180	5.0	You can see some satraches on my AirPods , you will see how often I use them	1
6181	5.0	In short, great product from Apple	1
6183	5.0	Never disappoint, recommend it to people who wants earphones	1
6184	5.0	These airpods are not just attractive but do exactly as they say: they allow you to get a clear sound while blocking out the outside noice	1
6185	5.0	My nephew wanted them, so I thought they were worth the investment	1
6186	5.0	The charging case is a nice touch, and they are easy to travel with	1
6187	5.0	The added bonus for us was that they arrived almost a week earlier than expected	1
6188	5.0	Great quality and service	1
6189	5.0	How could anyone dislike Apple AirPods	1
6191	5.0	Talk about sound quality, it’s unbelievable	1
6192	5.0	I just cannot get over the phenomenal quality of sound	1
6193	5.0	They come in a nice case and charger to plug into your usb outlet	1
6194	5.0	They charge in no time	1
6195	5.0	The AirPods are also smart	1
6196	5.0	Immediately connects to your phone through bluetooth	1
6197	5.0	You take one out and they immediately turn off but you still have the option to listen with one in the ear	1
6198	5.0	As soon as you open the cute little case they connect immediately to your phone	1
6199	5.0 	Best Apple investment ever	1
6200	5.0	Been waiting and contemplating for a long time on whether to spend more than $100 on wireless AirPods	1
6201	5.0	After tripping on my headphone cable and having my phone almost fall into a creek, I decided to take the leap	1
6203	5.0	Battery life is incredible	1
6204	5.0	Even more incredible is the time the AirPods take to recharge once you put them to charge in the charged case	1
6205	5.0	Holy super speed charging	1
6206	5.0	It literally feels like it takes less than 2 to 3 minutes to charge them from 10% to 100%	1
6207	5.0	Best product I have purchased on Amazon so far	1
6208	5.0	I would highly recommend buying a case for your AirPods as soon as you get them	1
6211	2.0	After a long time putting off this purchase because I was unsure whether they would pair well with my Galaxy phone, I finally relented	1
6212	2.0	Only to be disappointed	0
6213	2.0	The Bluetooth pairing often drops or is sketchy	0
6214	2.0	When that happens, I have to carry my phone close to my ears to catch the signal	0
6215	2.0	Which, essentially, eliminates the need for the earbuds	0
6216	2.0	When I went to return them, Amazon offered tech support	1
6217	2.0	Which was great because it fixed the problem for about 2 days	0
6219	2.0	But by the time I got back around to returning them, the window had closed	0
6220	2.0	Very disappointed that I'm now stuck with a lightly used product I can't return	0
6221	5.0	I only put one star on noise cancellation since these are more for like sound awareness	0
6222	5.0	I like it because you can hear things around you but music quality is still good	1
6223	5.0	Sometimes I even think my phone is playing the music and not the actual headphones	1
6225	5.0	Works with non apple products as well	1
6226	4.0	These air pods have surprisingly good battery life and are really comfortable to wear	1
6227	4.0	I primarily use my air pods during work	1
6228	4.0	So probably 5-8 hours a work day	1
6229	4.0	I use them intermittently due to having to interact with my coworkers	1
6230	4.0	I charge them every time I have to give someone my attention	1
6231	4.0	As a result of that I've never ran out of battery life in a single day	1
6232	4.0	I also find them extremely comfortable, like I forget they are even there sometimes if I paused my audiobook	1
6233	4.0	While I don't exercise with them, I haven't had one fall out yet during regular use	0
6234	4.0	But I am cautious enough to not use them around water as I fear they might fall out and be damaged in such circumstances	1
6235	4.0	Unfortunately, we are only allowed one earbud in while we work	1
6236	4.0	Some areas of my workspace are loud due primarily to large AC units and conveyors converging in certain areas	0
6237	4.0	Due to this, I do have one complaint about them	0
6238	4.0	They don't cancel noise very well	0
6239	4.0	I used to have another pair of wireless ear buds and they were much better at cancelling out sound, even with one ear	0
6240	4.0	As a result I am frequently having to pause my audiobook in these areas as I don't want to blow out one of my eardrums trying to overpower the external sounds with raising the volume of my device	0
6241	4.0	As to regards about sound quality, I find them good for my purposes	1
6242	4.0	Listening to podcasts and audiobooks in standard quality	1
6243	4.0	I have decent headphones at home if I want an audiophile experience with high quality audio formats especially with music, games, and shows	1
6244	4.0	But the air pods don't necessarily sound terrible	1
6245	4.0	They are just a little annoying to pair between my iphone and pc back and forth	0
6247	4.0	As I only use them while I work, I don't take calls, so I can't comment on the sound receiving end of the earbuds and their use as a headset	1
6248	4.0	Overall I think they are pretty great product	1
6249	4.0	I did receive the newest model, it was factory sealed and did not appear to have been used	0
6250	4.0	I read a couple of bad reviews and I was particularly worried about receiving a previous model or returned item sold as new	0
6251	4.0	Thankfully everything was fine	1
6252	5.0	They charge super fast	1
6253	5.0	They last for about 4 hours if on consistently	1
6254	5.0	If you have braids or any type of heavy hair, be careful because it will try to knock them out of your ears	0
6255	5.0	The sound is weird sometimes	0
6256	5.0	It will sound clogged up or it will make it sound more digital	0
6257	5.0	This only happened to me when I opened certain apps	0
6258	5.0	Apps that have ads or music in the background already	0
6259	5.0	The AirPods have trouble processing that I suppose they connect super easy to your phone like barely any set up	1
6261	5.0	I would say to beware of connecting the AirPods to another device that’s not apple	0
6262	5.0	It works but it is difficult to connect them back to your iPhone after you do that	0
6263	5.0	I had to google it	0
6264	5.0	That’s what the small button is for on it	1
6265	5.0	Other than that I think it’s worth the purchase	1
6266	5.0	I held off on the airpods because they just looked strange, not to mention how people looked wearing them	0
6266	5.0	I worried they would fall out and I would lose one but those concerns haven't really happened	1
6267	5.0	They fit well, the sound quality is great and you adjust really quick	1
6268	5.0	I also like the solid-ness of them and their case	1
6269	5.0	They don't feel flimsy like some I have seen which isn't a surprise with Apple quality	1
6270	5.0	I ended up getting second pair for gift for sister and she loves them too	1
6271	5.0	Good investment and I LOVE not dealing with headphone wires	1
6272	5.0	These work great	1
6273	5.0	No static like other brands I've tried	1
6274	5.0	People can actually hear me clearly on phone calls	1
6275	5.0	The distance was amazing at first	1
6275	5.0	After about a week it started breaking up if I was more than 30 feet from the phone	0
6276	5.0	Good enough	1
6277	5.0	It's held charge well	1
6278	5.0	I have an Android phone and it connects well	1
6279	5.0	It changes between my phone and computer decently also	1
6280	5.0	Oh, they're also comfortable	1
6283	5.0	I've only used them for calls and the computer	1
6284	5.0	I haven't tried running with them	1
6285	5.0	They stay in my ear and don't move around and don't hurt	1
6286	5.0	My wife listens to or reads books constantly when she’s not sewing a quilt or taking care of the grand-babies	1
6287	5.0	She had an off-brand Bluetooth set of air buds but couldn’t get them to pair with each other	1
6288	5.0	Both would pair separately with her iPhone but not both	1
6289	5.0	She took these out of the charging container and like magic they paired instantly with each other and to her phone	1
6291	5.0	What a difference buying original Apple airpods made	1
6292	5.0	No comparison at all	1
6293	5.0	Thanks Apple	1
6294	1.0	These AirPods were great until they weren't	0
6296	1.0	I have been using them just fine and about a week ago out of nowhere they just stopped connecting to my iPhone	0
6297	1.0	I'll get a connection maybe once every 5 tries	0
6297	1.0	I get a weird tinny sound with no bass and then have to try to reconnect again and again	0
6298	1.0	Of course, the return window has closed	0
6299	1.0	Really disappointed and don't know what to do with them now	0
6300	5.0	I actually really like these headphones for the ease of being able to multi task w/o a cord always attached	1
6301	5.0	Going to the gym and doing intense workouts with minimal adjusting	1
6302	5.0	My only complaint is that battery life	0
6303	5.0	As an write this review at 10:15 am, batteries previously charged to 100%, only using to answer calls, my ear buds currently sit at 54%	0
6304	5.0	You’d think with these being the hottest buds on the market, the battery life would be impeccable	1
6305	5.0	Slightly disappointed in that, overall pleased	0
6307	5.0	I bought these to replace my Jaybird Freedoms and thought I'd be trading sound quality for convivence and was willing to settle for that	1
6308	5.0	I assumed these would be easy to set up, would turn on and off seamlessly and give me great features, and I assumed they would sound sub par compared to the Jaybirds	0
6309	5.0	I was right on two of those assumptions	1
6310	5.0	The sound quality is in fact on par with Jaybirds	1
6311	5.0	If I have to nitpick they aren't as comfortable as the Jaybirds, but that's not saying they are uncomfortable	1
6312	5.0	At first I wasn't sure if I should order since some reviewers claimed to get fake AirPods	0
6313	5.0	I went ahead an ordered them a day ago and got them in the mail today	1
6314	5.0	So far I am enjoying them	1
6315	5.0	The package was still wrapped properly when I received it	1
6316	5.0	I went ahead and checked the serial number on the AirPod box on the Apple website and it came back as authentic 2nd generation AirPods	1
6317	5.0	A lot of other people stated they got used AirPods, mine came wrapped properly in the plastic just like they where at the apple store and had all the proper instructions and charger	1
6318	5.0	No sign of being used	1
6319	5.0	I would say if you are considering them they are a great deal, considering you will save $30 buying here vs the apple store	1
6320	5.0	I debated getting a pair of these as I thought I was content with the pair of earbuds that come with the phone but I’m super glad I purchased these	1
6321	5.0	First of all I feel like these were a wonderful price compared to apple and even as a refurbished product these are amazing	1
6322	5.0	The sound quality is amazing	1
6322	5.0	I love not having a cord dangling around having to deal with	1
6323	5.0	They easily pair with apple devices	1
6323	5.0	I haven’t tried pairing with a non apple Bluetooth device it’s supposed to be easy as well	1
6324	5.0	There’s a button the case you press to pair with a non apple Bluetooth device which is convenient	1
6326	5.0	They constantly Stay charged in the case and I have only had to charge the case a couple times in the few months I’ve had these	0
6327	5.0	Very convenient and definitely worth purchasing if you’re on the fence	1
6328	1.0	These disconnect frequently, normally just the left one	0
6329	1.0	I have tried everything from disconnecting and reconnecting, turning off ear detect, disconnecting all other Bluetooth devices, and many more nothing helps	0
6331	1.0	These are the worst headphones I’ve ever had the displeasure of purchasing	0
6332	1.0	they’re EXTREMELY UNCOMFORTABLE, do yourself a favor and get a better brand that isn’t overpriced	0
6334	5.0	Having owned both of them apple AirPods vs galaxy buds, not the pro versions of both	1
6334	5.0	I can say that the noise cancellation is better in galaxy buds but the quality of the sound from AirPods is out of the world	1
6338	5.0	Charging is better in AirPods vs galaxy buds, I use it for like 10 mins at a time and it lasts for a day if not less	1
6340	5.0	Taking off one star because you can still hear noises after wearing this, if you want total cancellation upgrade to the pro version	0
6342	5.0	Personally, I don't find much use in using a wireless charging one compared to a wired one	1
6343	3.0	I don’t know if I received counterfeit AirPods or if Apple has cut the quality of the product in the last couple years	0
6343	3.0	the product I received is very inferior to the 2017 models I replaced	0
6344	3.0	The case is lighter	0
6344	3.0	the lid feels light and flimsy, as if it could be twisted off	0
6345	3.0	The pods themselves feel and sound identical to the old ones, but these cut out frequently	0
6346	3.0	The left one will cut and the right one continues on	0
6347	5.0	This is a wonderful product that I am very impressed with	1
6349	5.0	Connects flawlessly to my iPhone	1
6351	5.0	Sound quality is great	1
6352	5.0	Works beautifully with the Pandora app	1
6353	5.0	Will take calls seamlessly and resume music afterward	1
6354	5.0	The earbuds fit and stay in well enough to go rucking for several hours	1
6355	5.0	Feels like a quality product that was well made and thought out	1
6356	5.0	I initially hated the shift Apple made when it removed headphone jacks	0
6357	5.0	I have to say, after finally making the shift due to the price drop to ~$120, I bought 2 pair for my wife and I	1
6358	5.0	We love them, we use them all the time and can't recommend them highly enough	1
6359	5.0	My wife jams to the tunes during the day	1
6360	5.0	I keep one in my ear while teleworking for conference calls made easy	1
6361	5.0	Very seamless, and the sound quality is phenomenal - microphone included	1
6362	3.0	Waited a good 5 day’s to write a review as I wanted to give them an honest chance	1
6364	3.0	I will say the sound quality isn’t bad	1
6365	3.0	It’s not the best I’ve heard but for wireless headphones there’s not a static in the background like some of the cheaper models	0
6366	3.0	The double tap feature is a little strange as it takes a bit to find that perfect spot	0
6367	3.0	 Also it’s double tap being pause and fast forward I haven’t been able to ge the music to skip forward only pause	0
6368	3.0	 So that feature I haven’t used all that much	0
6369	3.0	 They do slip a bit in your ears so I recommend buying the ear hooks	0
6370	3.0	 I bought them and they work pretty well with them	0
6371	3.0	 There’s also silicon options for covers to help the slipping	1
6372	3.0	 I’d also recommend a case for the charging case as it’s quite small and kinda slippery	0
6373	3.0	 So all in all I think they’re a decent pair of headphones	1
6374	3.0	 Just don’t go into the purchase expecting perfection	0
6375	3.0	I like these headphones because of the convenience it provides, especially around the house	1
6376	3.0	 It makes cooking while watching videos on my phone super easy	1
6377	3.0	 I love making important calls using my AirPods	1
6378	3.0	 The only thing that I don’t like is that when I am on the train during my commute, you can’t hear clearly even if the volume is loud (which can damage your ears)	0
6379	3.0	 So if this is going to be a huge investment for you and sound quality is important, I would say get some beats or other better headphones	0
6380	3.0	 I can’t listen to podcasts on the train because you hear the train over the audio	0
6384	1.0	 Yeah the sound quality is great IF they work, I’m bummed at all the high reviews for these because they’re made cheaply and without care or concern for the product	0
6385	1.0	 I shouldn’t spend top dollar on a top dollar device for it to act like dollar store headphones	0
6386	1.0	 I’m dissatisfied and disappointed at the terrible quality of this worthless product	0
6387	4.0	I've bought 3 pairs now	1
6388	4.0	 The first two were eaten by the dog at different points in time and therefore needed to be replaced	0
6389	4.0	 The sound quality is decent, but I don't have anything to compare it to	1
6391	4.0	 The latest pair cuts in and out for no discernible reason	0
6392	4.0	 reasonably priced considering my dog will likely chew thru them again in the future	1
6393	3.0	I love my airpods and have been using them for some time now	1
6394	3.0	 I've never had an issue until recently where one airpod never seems to charge in the case despite the case being fully charged	0
6395	3.0	 I don't know why this happened all of a sudden this past month	0
6396	3.0	 Its incredibly frustrating when I put them in and one seems to have charged perfectly and the other one is at 0%	0
6399	3.0	I bought these I thought as an alternative to more expensive Apple AirPods and was I wrong	0
6400	3.0	 I used them solely with my IPad and the sound bounces periodically from one ear to the other losing sound in the other ear	0
6401	3.0	 This is an occasional occurrence but annoying enough to be unhappy	0
6402	3.0	 When I first tried using them with my Android phone they wouldn’t stay connected and I had to carry my case with me	0
6403	3.0	 I don’t recommend buying these	0
6406	5.0	Christmas gift for my daughter- was exactly what she wanted	1
6407	5.0	 Opened the case cover and immediately her phone asked to pair with these	1
6408	5.0	 Installation could not be any easier	1
6409	5.0	 Love that these are genuine Apple products as I can be sure that they will work correctly with the other Apple products that we already own and use daily	1
6410	5.0	 I have always found Apple quality and engineering to be exceptional, and service when having an issue to be top-notch	1
6411	5.0	 These were a great value	1
6412	1.0	I love the product and used it regularly	1
6413	1.0	 it worked perfectly, however after 3 months I noticed one day that it kept connecting and disconnecting	0
6414	1.0	 When it finally worked, music played in only the right airpod	0
6415	1.0	 I troubleshooted the issue and reset the airpods, forgot the device and even resetted my phone	0
6416	1.0	 It wasn’t an issue with my phone but for some reason the device wasn’t even showing up in Bluetooth devices	0
6417	1.0	 I called apple support and they told me to do the same thing I did, in fact there was nothing they could do for me to fix it	0
6418	1.0	 It doesn’t connect to any other iphone and would not appear in non apple phones	0
6419	1.0	 Do not buy this product without knowing there could be risks	0
6420	1.0	 If you happen to have a faulty airpod, even with a warranty, you wont be able to use it ever again	0
6422	1.0	 There no physical damage so I dont understand the problem	0
6423	1.0	 Please be aware that if your airpods have internal errors, you are screwed	0
6426	1.0	I am so upset with this purchase	0
6427	1.0	 I bought them thinking it was a great deal so something that was in fair condition	0
6428	1.0	 When I received the headphones I didn’t open them right away as I was busy planning my daughters birthday	0
6429	1.0	 When I finally opened them the airpods wouldn’t connect to my phone for some reason	0
6430	1.0	 After extensive research as to why they were f charging or connecting I found out that the AirPods inside the case were switched out and the AirPods were fake which is why I wasn’t holding any charge or connecting to my phone	0
6431	1.0	 I was so upset because I lost my money given that the window for return passed and was given an fauly product	0
6432	1.0	 Be careful when ordering these headphones and check them as soon as you buy them so you are able to return if needed	0
6433	1.0	 So upsetting to received a fake product	0
6434	1.0	 Amazon should really check for authenticity upon product returns like this	0
6435	5.0	Like this so much , got it from black sale for saving 30 bucks	1
6436	5.0	 After a simple a tap setup,it’s automatically connected with my iPhone and always on	1
6437	5.0	 Anytime when I am on the phone, just easy to put it on one of my ears, it connected immediately , high quality sounds , 2 moods to switch and less noise	1
6438	5.0	 It’s fast charging and can be wireless charging	1
6439	5.0	 When I busy and battery was out, I got it charged for 15 mins and it can last 3 hours to use	1
6440	5.0	Recommend these hand free and high quality sounds AirPods	1 
6441	1.0	DO NOT BUY	0
6442	1.0	They won’t stay in your ear	0
6443	1.0	Quality of sound and battery life is good	1
6444	1.0	 Great when I am just sitting down	1
6445	1.0	 TERRIBLE if you WALK	0
6447	1.0	 I went to get the car; it had fallen out and I couldn’t find it	0
6449	1.0	 Still in the 90 day warranty, but I couldn’t return them, because one was missing	0
6450	5.0	I was a skeptic for so long but the slim profile and ease of use without chords I will never go back to wires	1
6451	5.0	 They pair instantly if you’re lazy like me that’s awesome and I can’t really speak to quality	1
6452	5.0	 They aren’t going to vibrate your ears with the bass but for podcasts and your average music listener they are perfect	1
6453	5.0	 Anyone who is on the phone for work a lot will love these as well	1
6454	5.0	 Very fast charging as well	1
6456	5.0	 They are quite expensive so I would only recommend if you use Bluetooth headphones heavily already	1
6457	5.0	I’m pretty pleased with these AirPods	1
6458	5.0	 I wasn’t expecting greatness I just wanted to be able to listen to music while I charged my phone	1
6459	5.0	 It works great for what I need it too	1
6460	5.0	 It doesn’t work well with non Apple products though so don’t get these if you want to use them for that	0
6461	5.0	 At first I had trouble with the right air pod losing battery quicker and disconnecting while in use	0
6462	5.0	 I like them a lot but it really is just headphones without cords so don’t expect much more	0
