,rating,single_review
93,4.0," The software chip allows a faster, stronger, and more stable connection with your device(s)"
94,4.0, This particular item for $139
95,4.0,00 does NOT feature the wireless charging case
96,4.0, This one must be plugged in via USB (cable provided in the box) to an outlet or USB port
97,4.0, The wireless charging case model is $169
98,4.0," Now if you're looking to upgrade to the wireless charging case later on, you can"
99,4.0, Apple does sell it separately
100,4.0," If you want the wireless charging option right out of the box, I recommend sending the $169 vs the $139 product here"
101,4.0,"Sound quality: Straight out of the box, sound is pretty solid"
102,4.0," No crackles, static, pops, or any abnormal noises created by the more economic-friendly headsets"
103,4.0, You have a lot more adjustability & tuning capabilities if paired on an iOS/Apple device vs using for example paired with an Android OS device
104,4.0," So, ultimately Apple users may or may not get a better sound quality experience"
105,4.0,Noise cancellation: AirPods do fit fairly well in the ear without having to be jammed inside your ear canal
106,4.0," Generally they create a snug fit using Apple's ""universal"" earphone design, it is one size fits most not one size fits all"
107,4.0, Some users have upgraded or opted to spend the additional funds on a set of AirPods Pro due to the rubber tips for a better/snug fit
108,4.0, I believe only the AirPods Pro currently has an active noise cancellation utilizing two microphones but I would double-check Apple for accurate information
109,4.0," Also, for Android users"
110,4.0, The Galaxy buds by Samsung feature active noise cancellation & wireless charging case on every model so you might want to look into that product before making a final purchase
111,4.0,"Battery life: For optimal battery life, I highly recommend charging both AirPods inside the case"
112,4.0, The case itself is a battery pack with a life
113,4.0," So if one or both AirPods are low on battery, you can toss them in the case and charge them up"
114,4.0, Apple I believe rates 5 minutes of charging time is equivalent to 1 hour of talk/listening time and 15 minutes of charging time is equivalent to 2 hours of talk/listening
115,4.0," I'm sure this is accurate when they're brand new but I'm sure like anything, normal ware & tare might diminish that over time"
116,4.0,Warranty: Apple provides a 1-year standard manufacturer's warranty on this product
117,4.0, This ONLY covers defects/defaults from the manufacturer
118,4.0," This will NOT cover physical and/or liquid damages to AirPods, case, or charging cable included"
119,4.0,AppleCare: It's $29
120,4.0,00 and 2 years and well worth the extra money
121,4.0," You're already spending this kind of money on a headset, may as well have protection"
122,4.0," We get it, accidents happen"
123,4.0, But protect yourself and get your AirPods repaired/replaced at no additional cost to YOU
124,4.0, There is no additional fees or deductibles involved
125,4.0,AppleCare tips:
126,4.0,You don't have to install AppleCare right away
127,4.0, You have 60 days from the original purchase date to contact Apple by providing your AirPods serial number (on outside of the box) and Apple will tell you if you're still eligible
128,4.0,You can renew AppleCare for another 2 years for the same fee of $29
129,4.0,00 provided you want to keep the same product
130,4.0," If you decide to upgrade to the AirPods Pro or whatever the latest model is, you would have to purchase AppleCare for that specific product"
131,4.0,You can go into an Apple store location and get live repair/replacement on your AirPods
132,4.0,Using AirPods with Android:
133,4.0,Apple has allowed Android and other non-iOS devices to use AirPods since the AirPods pair/connect via BlueTooth
134,4.0,If you're using AirPods on an Android platform such as Samsung or LG for example there's 2 ways to pair the headset to your device
135,4.0," You either turn on BlueTooth on your device, pop both AirPods inside your ear, find ""AirPods"" under available connections, and connect"
136,4.0," Or you might have to pair manually using the button on the AirPods case to make available, pair, and connect"
137,4.0,FAIR WARNING:
138,4.0,You will NOT have access to all features that the AirPods have to offer on an Apple/iOS device
139,4.0, You will be limited on functions you can perform
140,4.0,I was able to find an app on Google play store for $1
141,4.0,"99 called ""AirPopUp"""
142,4.0, It is a paid application that unlock access to certain/more features of the AirPods similar to what an Apple/iOS device would be granted
143,4.0, Be aware that you will NOT have access nor the ability to have every single feature since you're not on Apple's network
144,4.0," There may be other apps (most likely paid applications) you'd have to find that may unlock more features such as: AirPods battery life percentage, case battery life percentage, programming LEFT & RIGHT AirPods for certain function(s), skipping/pausing/resetting songs, answer/decline/hang up phone calls, find my AirPods, and more"
145,4.0,"For Samsung users specifically, you might want to look into the Galaxy Buds"
146,4.0," They're a little cheaper than AirPods, I believe Amazon has them for $109"
147,4.0,99 + $22 3-Year insurance through Assurion that does cover physical/liquid/accidental damage just like AirPods
148,4.0,Galaxy Buds features:
149,4.0,Made by Samsung
150,4.0,Audio powered by AKG
151,4.0,Rubber ear bud tips
152,4.0,Pair with Samsung device to get the most
153,4.0,Wireless charging case
154,4.0,Active noise cancellation
155,4.0,Comes in multiple colors (black/white/silver/yellow/red & black combo with Star Wars edition Galaxy Note 10+)
156,4.0,Includes changing cord and replacement rubber earbud tips
157,4.0,"I know if you pair the Galaxy Buds with a Samsung device it will automatically download an application titled ""Galaxy Wearable"""
158,4.0," This allows users to check battery life status of the case and each bud, prompts you for software updates, ability to program LEFT & RIGHT earbuds to do certain function(s), answer/decline/hang up phone calls, pause/skip/reset songs"
159,4.0,"Apple may charge a lot of money for their products on accessories but they never fall short of being a revolutionary, well-designed, reliable product that works as advertised"
160,1.0,I've had these air pods for a little under 2 weeks and having a very tough time connecting the air pods to my phone for calls
161,1.0, Multiple issues
162,4.0,I have both the AirPods and the Jabra Elite Actives
163,4.0, I like them both but for different reasons
164,4.0,AirPods Pros
165,4.0,"- light,"
166,4.0,"-comfortable,"
167,4.0,-Wonderful phone call performance (at both ends)
168,4.0,- great charging case
169,4.0,-5 hour battery life
170,4.0,"- open design allows you to hear traffic, conversations, etc (this is a negative in noisy environments)"
171,4.0,AirPod Cons:
172,4.0,- will not stay in without earhooks
173,4.0,- Not water/sweat proof
174,4.0,Jabra Pros:
175,4.0,- great sound isolation (especially with Comfort tips)
176,4.0,"- better base than AirPods,"
177,4.0,"- good battery life,"
178,4.0,-not as obtrusive as the q-tip AirPods
179,4.0,-Much better water/sweat protection
180,4.0,Jabra Cons:
181,4.0,- the absolute worst customer service you will EVER find
182,4.0, Hope you will never have to use it
183,4.0, I had to return two before I got a pair that worked
184,4.0, THANK YOU AMAZON
185,4.0,"If I had to buy just one, it would be the AirPods"
186,4.0," But, the Jabras are better in the gym or in noisy environments"
187,3.0,"I was spectacle at first buying these online and not at an Apple store, but they are the newest model of airpods"
188,3.0," Unfortunately, the charging case that came with it, is actually the case that comes with the original airpods"
189,3.0," The new case has the LED on the outside, not on the inside and the Bluetooth pairing button on the back, is supposed to be in the middle of the case, not any lower"
190,3.0," These are the new airpods, however, it came with the old case for the original airpods"
191,3.0,"Although the 2nd generation AirPods came out in March 2019, improvements are merely incremental"
192,3.0," At the $100 price point, can the recently released Anker Soundcore Liberty 2 compete"
193,3.0, Read on to learn how the more expensive latest $140 Apple AirPods stack up versus Soundcore Liberty 2 Pro:
194,3.0,QUICK SPOILER ANSWER ANKER VS
195,3.0, APPLE AIRPODS:
196,3.0,Yes indeed
197,3.0," At $40 less, the Anker boasts equal sounds and noise cancellation not offered by Apple unless upgrading to the $250 Pro model"
198,3.0, The Apple AirPod 2 is the perennial best seller in this price range
199,3.0, You won’t be disappointed unless you need the awesome feature of noise cancellation
200,3.0, The $100 Anker is very well spent and does includes noise cancellation and an equalizer to balance the sound to your taste
201,3.0,SOUND QUALITY
202,3.0,I specialize in tech reviews and place the far highest priority on listening quality
203,3.0," If it’s better mic quality you are after, or have hearing difficulty, the AirPods are a bit better, capturing more-subtle voice tones"
204,3.0," But for music, the Anker equals Apple’s impressive sound"
205,3.0," Once you nail the fit, both will impress all but audiophiles in all aspects of sound quality: accuracy, tonal range, non-fatiguing, and punchy (but not annoying) bass"
206,3.0,"Speaking of bass, Anker does punch it up"
207,3.0," The highs are slightly rounded off, the midrange is fairly flat, and the low end is boosted"
208,3.0,NOISE CANCELLATION: Apple vs
209,3.0, Anker
210,3.0,This Apple model has none unless you spring for the newest $250 Pro version
211,3.0," For a lower price, the Anker’s have it, and do a worthy job"
212,3.0, This feature alone lets Anker win the race vs
213,3.0, the lastest Apple AirPod
214,3.0," If you haven’t experienced noise cancellation in headphones, or earbuds, you’ll likely be as blown away as I was"
215,3.0, I got my first noise cancelation Bose headphones six years ago when they were the only game in town
216,3.0," Life changing, truly"
217,3.0, A must for any noisy environment and a godsend for rest on long airplane trips
218,3.0,"The Anker’s were my second noise cancelling earbuds, and while not spectacular like the class leading $250 Sony’s, the result is satisfying"
219,3.0, I urge you to audition this feature
220,3.0," When making, phone calls, you may prefer it off"
221,3.0,CONTROLLING THE SOUND: APPLE VS
222,3.0, THE ANKER EQUALIZER APP:
223,3.0,"With the Apple AirPods, open Settings, Tap Music, and then EQ under the Playback tab"
224,3.0," Although the Soundcore Liberty 2 boosts the bass, some of us prefer a more nuanced and balanced sound"
225,3.0, With either of the new Anker’s the app is a terrific add on
226,3.0, You can get the sound balanced to your tastes easily
227,3.0,ADDITIONAL EARBUD REVIEWS COMPARISONS:
228,3.0,"If tempted to spend another $100 for the Apple AirPods Pro, have a look at my detailed review of the awesome Sony’s compared with the Apple AirPod:"
229,3.0,https://www
230,3.0,amazon
231,3.0,com/gp/customer-reviews/R3CQKVFI571CDE/ref=cm_cr_getr_d_rvw_ttl
232,3.0,ie=UTF8&ASIN=B07T81554H
233,3.0,SHOULD YOU SPEND MORE
234,3.0, VALUE AND OVERALL BEST CHOICE:
235,3.0,"Although only released in December 2016, the “age” of the AirPod technology is showing"
236,3.0," If you can spend more, in late 2019 Apple released it’s latest Airpods Pro"
237,3.0, At nearly double the price these hit a “whole ‘nuther level” for Apple to compare closely with the extraordinary high end Sony WF-1000XM3 at a similar $250+ price
238,3.0,If you can spend $200+ Sony the new Sheriff in town and in my opinion beats even the newest $250 Apple AirPods
239,3.0," However, at $100, the Anker’s impress and are better than the basic Apple AirPods with one great advantage: noise cancellation"
240,3.0," If you don’t like the black color, go with the sleek and now classic $150 Apple model"
241,3.0,Thanks for slogging through this long review
242,3.0, Hope it has helped your important buying decision
243,3.0,NOW TIME TO RELAX AND KICK UP THE JAMS
244,5.0,I have tried several “cheaper” imitations of AirPods and they were just ok
245,5.0," I have been waiting to get these and let me tell you, I’m sold"
246,5.0, THESE ARE GREAT
247,5.0," As soon as I got them, I had to try them out"
248,5.0," First of all, they paired with my iPhone XR, almost instantly"
249,5.0," All I had to do was have my phone open and near the AirPods, while they were still in the charging case, open the lid and within seconds they paired"
250,5.0," It displays the charge of both the AirPods and the case on your phone, too"
251,5.0, Super cool
252,5.0, I selected one of my favorite Classic Rock bands and started jamming
253,5.0, The sound quality was awesome
254,5.0," These have a excellent Bass response, too"
255,5.0, These were a outstanding purchase for me
256,5.0, I’m so glad that I patiently waited for the AirPod 2s
257,5.0, I had been reading a lot of expert reviews about them
258,5.0," The original AirPods are good I have heard, but for several improvements these are even better"
259,5.0, I definitely recommend them
260,5.0, I’m another satisfied listener and a very happy customer
261,5.0,I'm not really sure how helpful a review is at this point
262,5.0, Everyone who's going to buy AirPods already knows that they like them or not
263,5.0," Apple is releasing some AirPods with noise cancellation, I think that's the biggest complaint most people have: that they don't feel like they're deafened to the world around them"
264,5.0, But everytime someone comes into my office I have to stop the music or take the AirPods completely out of my ears to hear them clearly
265,5.0, The sound quality is decent
266,5.0, I'm no audiophile so to me they sound great
267,5.0," They also are easy to lose, but so are any other tiny cordless in-ear earphones"
268,5.0, Just keep track of them and you should be good to go
269,5.0, At first they hurt my ears so I bought some silicone covers with wingtips
270,5.0," They helped the AirPods stay in my ears without moving around and ""softened"" the edges of the earphones"
271,5.0," I guess they stretched my ears out or I just got used to wearing them, because now even without the silicone covers they fit and feel just fine"
272,5.0," The battery life is pretty good, and popping them back in the case for 10-15 minutes boosts them almost back up to full"
273,5.0, So I'll wear them at work and then if I get up to grab a drink or use the bathroom I'll give the AirPods a quick charge and be good to go the rest of the day
274,5.0, At first double-tapping to get them to pause or skip a song was frustrating but there's a tutorial online somewhere that shows you where to tap to get consistent results: just above the neck of the AirPods
275,5.0," They pair immediately with your iPhone and I've never had any connectivity issues or sound quality issues, so I'm very happy with my purchase"
276,1.0," I ordered these ""Original Apple AirPods"" for my girlfriend as a birthday present"
277,1.0," I was super excited for her, but to my surprise, as soon as the package arrived I saw there was something wrong"
278,1.0," Immediately looking at the box (see pictures and video) containing the ""AirPods"" I could tell this was not an original apple product (no apple logo, or serial number)"
279,1.0, Once I opened the colored box I could confirm that I was right on my assumption
280,1.0,"I already contacted Amazon but I live in the Dominican Republic and I know I can't return packages to the US, so I'm stuck with some cheap knock offs, I will never use, which I paid more than 130+ Dollars"
281,1.0,All of this is very annoying
282,1.0," I did NOT buy it through a third party seller, specifically because I wanted to avoid this situation"
283,1.0," I'm very upset I got ""tricked"" into buying what I thought was an original product (paid in full as an original) sponsored by Amazon"
284,1.0,This is a waste of money
285,1.0, After having the AirPods for 1 week the left side decided to stop working
286,1.0, I contacted support and was told I have to pay $69 to get just the left AirPod replaced
287,1.0, Seeming as I just spent $150 to buy them in the first place you can imagine my frustration
288,1.0, Don’t waste your money on these cheap no good AirPods
289,1.0,Right bud stop working after two months with normal use and no damage
290,1.0, Tried different way to reset the device still cannot make it work
291,1.0," Contacted with amazon custom service, first get transfer to apple custom service, being told that need to pay $75 to repair, later amazon customer service helped to fully refund"
292,1.0,"Did a little bit research online, the quality control for airpods 2 is very bad"
293,1.0, Many people reported different problems
294,1.0,"Although the product is fine but with this quality control, buying airpods 2 is just like buying lottery"
295,5.0,Great product
296,5.0, Sounds good
297,5.0, Connected to both my Android and iPhone
298,5.0, Siri works good with these
299,1.0,I got them and went to try them out and then one of the AirPods was broken
300,1.0,Will not stay in your ears
301,1.0, Also one will not come on now and is not charging properly
302,4.0,Good headphones if you Primarily work with apple products
303,4.0, Not a lot to offer if you are Android user
304,4.0, I have bought this for my work phone - doesn't last 5 hours even when listening to at less than 50% volume
305,4.0, Case has enough juice to charge this 2-3 times
306,4.0, Quick Charging is good
307,4.0, I put in case for 15-20mins and I am good for next 3-4 hours
308,1.0,I just received these thinking they were the Apple AirPods 2 (as description says latest model)
309,1.0, I received the first generation pods which I already had
310,1.0, Very disappointed - there was almost a month long wait
311,1.0, I was so excited to get to mailbox after work today
312,1.0,womp womp
313,5.0,Excelente 
314,5.0, tenía mis dudas por los malos comentarios 
315,5.0, pero responderé a las dudas de todos 
316,5.0, son originales
317,5.0,nuevos sellados 
318,5.0, la serie 2 
319,5.0,muchos no entiendes qué hay dos modelos uno con carga inalámbrica y otro con cable 
320,5.0, y este con cable cuesta menos 
321,5.0, y están en oferta por Amazon 
322,5.0, quien los vende y envía 
323,5.0, tienen garantía por Amazon y por apple de un año que la activas luego de la compra y empieza a correr 
324,5.0, envío rápido y confiable 
325,5.0," las malas críticas son vendedores de eBay,tiendas y personas que no leen bien o no sabe lo que pidieron a esos que los piden usados "
326,5.0, me duran 3 horas o más con música 
327,5.0, nunca los e descargado completo ya que me termino cansando 
328,5.0, no creo alguien necesite mas 
329,5.0, aparte de ser así con 15 minutos en la caja tienes una carga completa 
330,5.0, encantado 
331,5.0, los recomiendo
332,4.0,"I am not an Apple fanatic, but I have been using their devices since ios 3G"
333,4.0," I do not “jump” at any product they sell, nor do I live for the next upgrade"
334,4.0," heck, if it were up to Apple we would all give them our old devices and buy their next big thingy every 1"
335,4.0,5 years
336,4.0," Having said that, I waited to get the AirPod 2 and was exited to see an Amazon “sale” of the “latest model”, that is until I received them and found that only the pods are the latest model"
337,4.0, the charging case is the old case with the battery indicator light on the inside of the case
338,4.0, This detail could have easily been provided in the description of the item for the consumer to determine if that would be a deal breaker
339,4.0," but nope, buyer beware"
340,4.0,"The air pods fit perfectly for me, and the sound is rich & full, so once my music starts playing I get over the fact that I was hood winked by seller"
341,4.0, The transaction was excellent with the exception of the non disclosure of the old charging case
342,1.0,Purchased Apple AirPods (Latest Model) through Amazon
343,1.0, Left AirPod didn't work
344,1.0, Took them to local Apple store
345,1.0, They couldn't get it to work either
346,1.0, Returned them per Amazon's return policy on 4/29
347,1.0, 10 days later and no updates
348,1.0," So far, not so good"
349,5.0,I received my package in two days
350,5.0, When I first tried them out it right away connected to my phone
351,5.0," I’m very impressed with the sound these airpods provide, I was worried that I didn’t get the right ones at first because it didn’t have a led light in the front, but later I found out that the led on the outside is only for the wireless charger, I will definitely buy again, I’m very pleased"
352,5.0,"I also was a little worried because I saw some reviews that others left that they got fakes, but I’m telling you right now you have nothing to worry about, they are 100% real and worth your money"
353,1.0,So first off I wanna say I do love these AirPods
354,1.0, But
355,1.0, I have only had mine less then 3 months and the left one has totally stopped working
356,1.0, The case and my phone won’t even recognize that a left one even exists
357,1.0, And the case seems to loose all its charge very fast
358,1.0, All things that should not be happening form a apple product only 3 months old
359,1.0, It has got very frustrating since I use them for work
360,1.0, If it wasn’t for all that I would have given a much higher rating
361,1.0, I plan on talking to amazon and apple
362,1.0, Something has to be done about this
363,1.0, I looked thew the other reviews and this is not the first case of ether of these issues
364,1.0, I will update this once I have a chance to talk to them
365,5.0,They are original
366,5.0, I compared them to the ones that my coworker had bought from apple and they are legit
367,5.0, They were NOT dirty ( I was afraid of that being an issue since I read other reviews complaining about it ) but not my case
368,5.0, They came super quick and nice and properly sealed
369,5.0," Charger, case and AirPods brand new out of the box"
370,5.0, I’m very happy with this purchase
371,5.0, Have been using it 24/7 and the battery life is awesome
372,5.0, Can’t be happier
373,1.0,broke within a week
374,1.0, Didn't expect this kind of quality from Apple
375,1.0,Received today after waiting for backordered product
376,1.0, These are the original AirPods and not the AirPods 2
377,1.0, No wireless charging
378,1.0, Exactly the same as the first version
379,1.0, Disappointed that the description did not match the product
380,5.0,This is my first pair of wireless headphones (coming from the lightning pods) and the convenience is literally easier than plugging in a wire for audio
381,5.0, The literal second you take an AirPod out it will be connected to whichever device you choose
382,5.0, The audio quality is amazing
383,5.0, Cranking the knob to the max and the pods handle heavy bass tracks very well in circumference while tying treble to clarity amongst very busy audio
384,5.0, If you have an iWatch with cellular then you literally don’t need your iPhone anymore
385,5.0, Amazing
386,2.0,Very misleading
387,2.0, These are not AirPod 2 gen but the older model
388,5.0,I have been an anti-Apple/Android advocate for as many years as I can remember - Until Now
389,5.0," After lots of opinions from friends and colleagues I decided to take the plunge and spend some of my hard earned cash on ""the fruit's"" hottest new product - enter Airpods"
390,5.0, These things are AWESOME
391,5.0, The technology in the small package is just mind blowing
392,5.0, I run/exercise every morning and work from home so I can use these in every aspect of my daily lift and they never seem to run out of juice
393,5.0," Some have stated sound quality is not up to ""X"" product but seriously"
394,5.0, Considering what features are packaged into these little pods I would argue they are better than anything you compare against them and they do it at a fraction of the cost
395,5.0, Audiophiles might stick their nose in the air but these things deliver great sound
396,5.0," You can compare them to a litany of Bluetooth wireless headphones which may be better in a certain aspect, but all of the other options give up features that these contain"
397,5.0, My one complaint/recommendation for those that are worried about fitment or rigorous movement is to snag some of the Earbuddyz skins
398,5.0, They dramatically helped keep these things planted while I am running each morning and also add a little bit more noise cancellation
399,5.0, A+ Apple
400,5.0,Well done
401,1.0,If you look in the pictures the ones on the left are bigger
402,1.0, those are real airpods from the Apple store
403,1.0, DO NOT BUT THESE
404,1.0,You can’t use them if they don’t stay in your ears
405,1.0, I guess my ears aren’t compatible with these
406,1.0," They start out ok, then through natural movement (not running or bouncing), they just get really loose"
407,1.0," Haven’t had them fall out, but when they just hang on your ears the sound is crap"
408,1.0,I bought two pairs for my twins and my daughter has complained about using them with amazon music to where it would mess with the singers voice
409,1.0, I contacted the help desk and he blaimed Apple when I have already checked with Apple saying it was amazon's problem since I had bought them from Amazon
410,1.0, No worth the $160
411,1.0, I talked to Shahid from the help desk and he was absolutely no help
412,1.0, Thanks Amazon for this huge problem
413,5.0,"Por ahora el producto funciona perfectamente y es de buena calidad llego súper rápido, estoy satisfecha con la compra "
414,5.0,It’s a great product
415,5.0,I love my new AirPods
416,5.0, I was told my order would take two weeks to get to me but amazon prime is awesome and I received them within 4 days
417,5.0, The AirPods are the real deal
418,5.0," I saw some reviews about knockoffs being sent, not sure what that was about but my order was correct"
419,5.0, They were insanely simple to connect to my phone and then I was able to have them connected to my other devices as well
420,5.0, The battery life is perfect too
421,5.0, I especially like how placing them back into the case charges them when not using them
422,5.0, You don’t have to actually have the case plugged into the wall to charge them
423,5.0,If you were thinking about upgrading to the new AirPods stop thinking and start doing
424,5.0, There new AirPods are everything you will ever need in a pair of headphones
425,1.0,I thought these were new when I bought them
426,1.0," They were packaged as if they were new, but as soon as I used them, they would die very fast and would disconnect randomly"
427,1.0," Also, when talking to someone on the phone, they would send robotic or they would say I sounded weird and it would stop working and go to the phone"
428,1.0, This is the second pair I have owned my first pair my son currently has and has zero issues
429,1.0," Needless to say, these are refurbished, buyer beware"
430,5.0,these do not live up to the hype
431,5.0," the airpods do not fit in my ears, they don’t have any sort of noise canceling, and the most i’ve gotten out of two pairs is three months of regular use"
432,5.0, the first pair only lasted a month
433,5.0, i sent them back under warranty and they sent me a new pair
434,5.0, and yesterday ( May 9) the right airpod blew out
435,5.0, these lasted only three months
436,5.0, i’ve had a pair of beats solo 2 for almost three years
437,5.0, these are also technically an apple product and i am disappointed in the amount of time that these expensive listening devices last
438,5.0, i refuse to believe that this is a coincidence because i have had two identical pairs and both resulted in the same outcome
439,5.0,"These are the best pair of wireless earphones I ever came across, apple has definitely done it again"
440,5.0," Being an apple fan, I love these"
441,5.0, They are so easy to connect
442,5.0," Once I connected them to my iPhone, they were seamlessly connected to my other apple devices"
443,5.0, All I have to do is select them in the list from the device you need them to connect and you are good to go
444,5.0," Another good thing is turning them on/off is easy, just remove them from the charging case and they turn on and put them back to turn them off, its simple"
445,5.0," And like most of the earphones out there, they connect to the last device you used them with, but its easy to switch device"
446,5.0,"You have the flexibility to just use one piece, if you like and sometimes it does come handy"
447,5.0," Another function I like is the automatic ear detection, just remove a piece from you ear and playback will pause and resume once you put it back, this does help when someone drops by for a conversation and you don't need to actually pickup your phone to pause the playback"
448,5.0,"The battery life is definitely impressive, I need to charge the case every 2 days"
449,5.0," And it's easy to carry everywhere, it being so small"
450,5.0,"Now the sound quality is crisp and connection is smooth, I found that the 2nd gen AirPods are actually better and improved on 1st gen, but its not worth to upgrade, but if you are planning to get your first one, I would definitely say go for the 2nd gen AirPods, I got a pretty sweet deal on amazon and am very happy with my purchase"
451,1.0,Literally just got these
452,1.0, The set up was super easy
453,1.0, The sound quality is $5 basic
454,1.0, Ok well maybe $10 basic
