,name reviewer,review title,rating,review_body
20,Ryan Almaleh,connecting for phone calls,1.0,I've had these air pods for a little under 2 weeks and having a very tough time connecting the air pods to my phone for calls. Multiple issues.
21,E. Hall,AirPod 2 vs Jabra Actives,4.0,"I have both the AirPods and the Jabra Elite Actives. I like them both but for different reasons
AirPods Pros
- light,
-comfortable,
-Wonderful phone call performance (at both ends)
- great charging case
-5 hour battery life
- open design allows you to hear traffic, conversations, etc (this is a negative in noisy environments)
AirPod Cons:
- will not stay in without earhooks
- Not water/sweat proof.
Jabra Pros:
- great sound isolation (especially with Comfort tips)
- better base than AirPods,
- good battery life,
-not as obtrusive as the q-tip AirPods
-Much better water/sweat protection
Jabra Cons:
- the absolute worst customer service you will EVER find. Hope you will never have to use it. I had to return two before I got a pair that worked. THANK YOU AMAZON!

If I had to buy just one, it would be the AirPods. But, the Jabras are better in the gym or in noisy environments."
22,Colby Smith,DID NOT COME WITH THE NEWEST CHARGING CASE!!,3.0,"I was spectacle at first buying these online and not at an Apple store, but they are the newest model of airpods. Unfortunately, the charging case that came with it, is actually the case that comes with the original airpods. The new case has the LED on the outside, not on the inside and the Bluetooth pairing button on the back, is supposed to be in the middle of the case, not any lower. These are the new airpods, however, it came with the old case for the original airpods."
23,Johnny,Can the Anker Soundcore Liberty 2 compete with the Apple AirPods 2 at $40 less?,3.0,"Although the 2nd generation AirPods came out in March 2019, improvements are merely incremental. At the $100 price point, can the recently released Anker Soundcore Liberty 2 compete? Read on to learn how the more expensive latest $140 Apple AirPods stack up versus Soundcore Liberty 2 Pro:

QUICK SPOILER ANSWER ANKER VS. APPLE AIRPODS:
Yes indeed. At $40 less, the Anker boasts equal sounds and noise cancellation not offered by Apple unless upgrading to the $250 Pro model. The Apple AirPod 2 is the perennial best seller in this price range. You won’t be disappointed unless you need the awesome feature of noise cancellation. The $100 Anker is very well spent and does includes noise cancellation and an equalizer to balance the sound to your taste.

SOUND QUALITY
I specialize in tech reviews and place the far highest priority on listening quality. If it’s better mic quality you are after, or have hearing difficulty, the AirPods are a bit better, capturing more-subtle voice tones. But for music, the Anker equals Apple’s impressive sound. Once you nail the fit, both will impress all but audiophiles in all aspects of sound quality: accuracy, tonal range, non-fatiguing, and punchy (but not annoying) bass.

Speaking of bass, Anker does punch it up. The highs are slightly rounded off, the midrange is fairly flat, and the low end is boosted.

NOISE CANCELLATION: Apple vs. Anker
This Apple model has none unless you spring for the newest $250 Pro version. For a lower price, the Anker’s have it, and do a worthy job. This feature alone lets Anker win the race vs. the lastest Apple AirPod. If you haven’t experienced noise cancellation in headphones, or earbuds, you’ll likely be as blown away as I was. I got my first noise cancelation Bose headphones six years ago when they were the only game in town. Life changing, truly. A must for any noisy environment and a godsend for rest on long airplane trips.

The Anker’s were my second noise cancelling earbuds, and while not spectacular like the class leading $250 Sony’s, the result is satisfying. I urge you to audition this feature. When making, phone calls, you may prefer it off.

CONTROLLING THE SOUND: APPLE VS. THE ANKER EQUALIZER APP:
With the Apple AirPods, open Settings, Tap Music, and then EQ under the Playback tab. Although the Soundcore Liberty 2 boosts the bass, some of us prefer a more nuanced and balanced sound. With either of the new Anker’s the app is a terrific add on. You can get the sound balanced to your tastes easily.

ADDITIONAL EARBUD REVIEWS COMPARISONS:
If tempted to spend another $100 for the Apple AirPods Pro, have a look at my detailed review of the awesome Sony’s compared with the Apple AirPod:

https://www.amazon.com/gp/customer-reviews/R3CQKVFI571CDE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07T81554H

SHOULD YOU SPEND MORE? VALUE AND OVERALL BEST CHOICE:
Although only released in December 2016, the “age” of the AirPod technology is showing. If you can spend more, in late 2019 Apple released it’s latest Airpods Pro. At nearly double the price these hit a “whole ‘nuther level” for Apple to compare closely with the extraordinary high end Sony WF-1000XM3 at a similar $250+ price.

If you can spend $200+ Sony the new Sheriff in town and in my opinion beats even the newest $250 Apple AirPods. However, at $100, the Anker’s impress and are better than the basic Apple AirPods with one great advantage: noise cancellation. If you don’t like the black color, go with the sleek and now classic $150 Apple model.

Thanks for slogging through this long review. Hope it has helped your important buying decision.

NOW TIME TO RELAX AND KICK UP THE JAMS!"
24,TODD B,"These have excellent sound quality and great Bass, too. I think the price is well worth it! LOVE EM!",5.0,"I have tried several “cheaper” imitations of AirPods and they were just ok. I have been waiting to get these and let me tell you, I’m sold. THESE ARE GREAT! As soon as I got them, I had to try them out. First of all, they paired with my iPhone XR, almost instantly. All I had to do was have my phone open and near the AirPods, while they were still in the charging case, open the lid and within seconds they paired! It displays the charge of both the AirPods and the case on your phone, too! Super cool! I selected one of my favorite Classic Rock bands and started jamming. The sound quality was awesome! These have a excellent Bass response, too. These were a outstanding purchase for me. I’m so glad that I patiently waited for the AirPod 2s! I had been reading a lot of expert reviews about them. The original AirPods are good I have heard, but for several improvements these are even better. I definitely recommend them. I’m another satisfied listener and a very happy customer."
25,Bearzy,I like them,5.0,"I'm not really sure how helpful a review is at this point. Everyone who's going to buy AirPods already knows that they like them or not. Apple is releasing some AirPods with noise cancellation, I think that's the biggest complaint most people have: that they don't feel like they're deafened to the world around them. But everytime someone comes into my office I have to stop the music or take the AirPods completely out of my ears to hear them clearly. The sound quality is decent. I'm no audiophile so to me they sound great. They also are easy to lose, but so are any other tiny cordless in-ear earphones. Just keep track of them and you should be good to go. At first they hurt my ears so I bought some silicone covers with wingtips. They helped the AirPods stay in my ears without moving around and ""softened"" the edges of the earphones. I guess they stretched my ears out or I just got used to wearing them, because now even without the silicone covers they fit and feel just fine. The battery life is pretty good, and popping them back in the case for 10-15 minutes boosts them almost back up to full. So I'll wear them at work and then if I get up to grab a drink or use the bathroom I'll give the AirPods a quick charge and be good to go the rest of the day. At first double-tapping to get them to pause or skip a song was frustrating but there's a tutorial online somewhere that shows you where to tap to get consistent results: just above the neck of the AirPods. They pair immediately with your iPhone and I've never had any connectivity issues or sound quality issues, so I'm very happy with my purchase."
26,Adolfo,Beware!,1.0," I ordered these ""Original Apple AirPods"" for my girlfriend as a birthday present. I was super excited for her, but to my surprise, as soon as the package arrived I saw there was something wrong. Immediately looking at the box (see pictures and video) containing the ""AirPods"" I could tell this was not an original apple product (no apple logo, or serial number). Once I opened the colored box I could confirm that I was right on my assumption.

I already contacted Amazon but I live in the Dominican Republic and I know I can't return packages to the US, so I'm stuck with some cheap knock offs, I will never use, which I paid more than 130+ Dollars.

All of this is very annoying... I did NOT buy it through a third party seller, specifically because I wanted to avoid this situation. I'm very upset I got ""tricked"" into buying what I thought was an original product (paid in full as an original) sponsored by Amazon."
27,Kristen Fitzwilliam,Waste of Money!,1.0,This is a waste of money! After having the AirPods for 1 week the left side decided to stop working. I contacted support and was told I have to pay $69 to get just the left AirPod replaced. Seeming as I just spent $150 to buy them in the first place you can imagine my frustration. Don’t waste your money on these cheap no good AirPods
28,Fisher,Right bud stop working after two months. Apple sucks! Amazon is helpful!,1.0,"Right bud stop working after two months with normal use and no damage. Tried different way to reset the device still cannot make it work. Contacted with amazon custom service, first get transfer to apple custom service, being told that need to pay $75 to repair, later amazon customer service helped to fully refund.
Did a little bit research online, the quality control for airpods 2 is very bad. Many people reported different problems.
Although the product is fine but with this quality control, buying airpods 2 is just like buying lottery."
29,Spoilers21,Love these.,5.0,Great product. Sounds good. Connected to both my Android and iPhone. Siri works good with these
30,Emma,Broken,1.0,I got them and went to try them out and then one of the AirPods was broken.
31,John A,What a disappointment.,1.0,Will not stay in your ears. Also one will not come on now and is not charging properly.
32,JDNOTReal247,Good Wireless Headphones,4.0,Good headphones if you Primarily work with apple products. Not a lot to offer if you are Android user. I have bought this for my work phone - doesn't last 5 hours even when listening to at less than 50% volume. Case has enough juice to charge this 2-3 times. Quick Charging is good. I put in case for 15-20mins and I am good for next 3-4 hours.
33,Sloan Battle,Received 1st Gen Pods - Not 2nd,1.0,I just received these thinking they were the Apple AirPods 2 (as description says latest model). I received the first generation pods which I already had. Very disappointed - there was almost a month long wait. I was so excited to get to mailbox after work today...womp womp
34,Amazon Customer,Excelentes .. mi opinión !!,5.0,"Excelente .. tenía mis dudas por los malos comentarios .. pero responderé a las dudas de todos .. son originales..nuevos sellados .. la serie 2 ..muchos no entiendes qué hay dos modelos uno con carga inalámbrica y otro con cable .. y este con cable cuesta menos .. y están en oferta por Amazon .. quien los vende y envía .. tienen garantía por Amazon y por apple de un año que la activas luego de la compra y empieza a correr .. envío rápido y confiable .. las malas críticas son vendedores de eBay,tiendas y personas que no leen bien o no sabe lo que pidieron a esos que los piden usados .. me duran 3 horas o más con música .. nunca los e descargado completo ya que me termino cansando .. no creo alguien necesite mas .. aparte de ser así con 15 minutos en la caja tienes una carga completa .. encantado .. los recomiendo"
35,ClassicBeats,Buyer Beware of Old Charging Case,4.0,"I am not an Apple fanatic, but I have been using their devices since ios 3G. I do not “jump” at any product they sell, nor do I live for the next upgrade... heck, if it were up to Apple we would all give them our old devices and buy their next big thingy every 1.5 years. Having said that, I waited to get the AirPod 2 and was exited to see an Amazon “sale” of the “latest model”, that is until I received them and found that only the pods are the latest model... the charging case is the old case with the battery indicator light on the inside of the case. This detail could have easily been provided in the description of the item for the consumer to determine if that would be a deal breaker... but nope, buyer beware!!

The air pods fit perfectly for me, and the sound is rich & full, so once my music starts playing I get over the fact that I was hood winked by seller!! The transaction was excellent with the exception of the non disclosure of the old charging case."
36,David Goodwin,Left AirPod didn't work,1.0,"Purchased Apple AirPods (Latest Model) through Amazon. Left AirPod didn't work. Took them to local Apple store. They couldn't get it to work either. Returned them per Amazon's return policy on 4/29. 10 days later and no updates. So far, not so good."
37,Lilly,"The REAL deal, Worth your money",5.0,"I received my package in two days! When I first tried them out it right away connected to my phone! I’m very impressed with the sound these airpods provide, I was worried that I didn’t get the right ones at first because it didn’t have a led light in the front, but later I found out that the led on the outside is only for the wireless charger, I will definitely buy again, I’m very pleased!
I also was a little worried because I saw some reviews that others left that they got fakes, but I’m telling you right now you have nothing to worry about, they are 100% real and worth your money."
38,Jonathan colvin,Is the left one supposed to die after 3 months?!?!,1.0,So first off I wanna say I do love these AirPods. But... I have only had mine less then 3 months and the left one has totally stopped working. The case and my phone won’t even recognize that a left one even exists. And the case seems to loose all its charge very fast. All things that should not be happening form a apple product only 3 months old. It has got very frustrating since I use them for work. If it wasn’t for all that I would have given a much higher rating. I plan on talking to amazon and apple. Something has to be done about this! I looked thew the other reviews and this is not the first case of ether of these issues. I will update this once I have a chance to talk to them.
39,Robert,Original !!!! Awesome,5.0,"They are original! I compared them to the ones that my coworker had bought from apple and they are legit. They were NOT dirty ( I was afraid of that being an issue since I read other reviews complaining about it ) but not my case! They came super quick and nice and properly sealed. Charger, case and AirPods brand new out of the box. I’m very happy with this purchase. Have been using it 24/7 and the battery life is awesome!!! Can’t be happier"
40,MK,broke,1.0,broke within a week. Didn't expect this kind of quality from Apple
41,KR,Not the AirPods 2 version,1.0,Received today after waiting for backordered product. These are the original AirPods and not the AirPods 2. No wireless charging. Exactly the same as the first version. Disappointed that the description did not match the product.
42,Joshua Epperson,Convenience tied together while offering an outstanding circumference of bass and treble.,5.0,This is my first pair of wireless headphones (coming from the lightning pods) and the convenience is literally easier than plugging in a wire for audio. The literal second you take an AirPod out it will be connected to whichever device you choose. The audio quality is amazing! Cranking the knob to the max and the pods handle heavy bass tracks very well in circumference while tying treble to clarity amongst very busy audio. If you have an iWatch with cellular then you literally don’t need your iPhone anymore. Amazing!!!
43,Nestor Torre,Watch out: NOT latest model,2.0,Very misleading. These are not AirPod 2 gen but the older model
44,TShepp,Held out for too long!,5.0,"I have been an anti-Apple/Android advocate for as many years as I can remember - Until Now. After lots of opinions from friends and colleagues I decided to take the plunge and spend some of my hard earned cash on ""the fruit's"" hottest new product - enter Airpods. These things are AWESOME! The technology in the small package is just mind blowing. I run/exercise every morning and work from home so I can use these in every aspect of my daily lift and they never seem to run out of juice! Some have stated sound quality is not up to ""X"" product but seriously?! Considering what features are packaged into these little pods I would argue they are better than anything you compare against them and they do it at a fraction of the cost! Audiophiles might stick their nose in the air but these things deliver great sound! You can compare them to a litany of Bluetooth wireless headphones which may be better in a certain aspect, but all of the other options give up features that these contain. My one complaint/recommendation for those that are worried about fitment or rigorous movement is to snag some of the Earbuddyz skins. They dramatically helped keep these things planted while I am running each morning and also add a little bit more noise cancellation. A+ Apple....Well done!"
45,Ya ya,THESE AIRPODS ARE FAKE DO NOT BUYYYYYY,1.0,If you look in the pictures the ones on the left are bigger... those are real airpods from the Apple store. DO NOT BUT THESE
46,Mike,Don’t stay in,1.0,"You can’t use them if they don’t stay in your ears. I guess my ears aren’t compatible with these. They start out ok, then through natural movement (not running or bouncing), they just get really loose. Haven’t had them fall out, but when they just hang on your ears the sound is crap."
47,Valentina M. Kuykendall,Don't work!!!,1.0,I bought two pairs for my twins and my daughter has complained about using them with amazon music to where it would mess with the singers voice. I contacted the help desk and he blaimed Apple when I have already checked with Apple saying it was amazon's problem since I had bought them from Amazon. No worth the $160! I talked to Shahid from the help desk and he was absolutely no help. Thanks Amazon for this huge problem!
48,Mariangelica,Buena calidad,5.0,"Por ahora el producto funciona perfectamente y es de buena calidad llego súper rápido, estoy satisfecha con la compra ."
49,Kian678,It’s gr8,5.0,It’s a great product
50,Zachery Lewis,Love my new AirPods!,5.0,"I love my new AirPods! I was told my order would take two weeks to get to me but amazon prime is awesome and I received them within 4 days! The AirPods are the real deal. I saw some reviews about knockoffs being sent, not sure what that was about but my order was correct. They were insanely simple to connect to my phone and then I was able to have them connected to my other devices as well. The battery life is perfect too. I especially like how placing them back into the case charges them when not using them. You don’t have to actually have the case plugged into the wall to charge them."
51,Trevor,Best Headphones ever!,5.0,If you were thinking about upgrading to the new AirPods stop thinking and start doing! There new AirPods are everything you will ever need in a pair of headphones!
52,Alicia,Not new!,1.0,"I thought these were new when I bought them. They were packaged as if they were new, but as soon as I used them, they would die very fast and would disconnect randomly. Also, when talking to someone on the phone, they would send robotic or they would say I sounded weird and it would stop working and go to the phone. This is the second pair I have owned my first pair my son currently has and has zero issues! Needless to say, these are refurbished, buyer beware!"
53,Jay Askren,not worth the hype,5.0,"these do not live up to the hype. the airpods do not fit in my ears, they don’t have any sort of noise canceling, and the most i’ve gotten out of two pairs is three months of regular use. the first pair only lasted a month. i sent them back under warranty and they sent me a new pair. and yesterday ( May 9) the right airpod blew out. these lasted only three months. i’ve had a pair of beats solo 2 for almost three years. these are also technically an apple product and i am disappointed in the amount of time that these expensive listening devices last. i refuse to believe that this is a coincidence because i have had two identical pairs and both resulted in the same outcome."
54,Siddharth,They are just amazing!!!,5.0,"These are the best pair of wireless earphones I ever came across, apple has definitely done it again. Being an apple fan, I love these! They are so easy to connect! Once I connected them to my iPhone, they were seamlessly connected to my other apple devices. All I have to do is select them in the list from the device you need them to connect and you are good to go. Another good thing is turning them on/off is easy, just remove them from the charging case and they turn on and put them back to turn them off, its simple. And like most of the earphones out there, they connect to the last device you used them with, but its easy to switch device.
You have the flexibility to just use one piece, if you like and sometimes it does come handy. Another function I like is the automatic ear detection, just remove a piece from you ear and playback will pause and resume once you put it back, this does help when someone drops by for a conversation and you don't need to actually pickup your phone to pause the playback.
The battery life is definitely impressive, I need to charge the case every 2 days. And it's easy to carry everywhere, it being so small.
Now the sound quality is crisp and connection is smooth, I found that the 2nd gen AirPods are actually better and improved on 1st gen, but its not worth to upgrade, but if you are planning to get your first one, I would definitely say go for the 2nd gen AirPods, I got a pretty sweet deal on amazon and am very happy with my purchase."
55,CALI V,"Very Basic, Not worth the price!",1.0,Literally just got these! The set up was super easy. The sound quality is $5 basic! Ok well maybe $10 basic. The only good thing is that they are truly wireless. I dont like how they fit in my ears. Only one AirPod work while watching YouTube videos. I can actually max out my volume and desire to turn it up louder but it wont get any louder. The base is so faint practically non existent. Ive been bamboozled. This price is Apple high but the quality is not good. I fell for the hype. After I use these further I will come back and update my review but as of right now I can say they are more hype than good and definitely not worth the price.
56,KinDallas,Sound is Great. They Really Hurt & Fall Out Often!,1.0,"Disappointed. I wanted to love these AirPods. The sound is perfect. Zero complaints with the sound quality. However, these really hurt. They should not cause you pain. When I say hurt, it is truly painful! This is not a mild discomfort. I tried to ignore it the first day, but after a few tries it is miserable. I tried barely placing them in my ear and adjusting it, it relieved some of the pain pressure but it still hurt. They keep falling out too!! So if you adjust it to barely go into your ear, hopefully you are not moving around and working out because these will fall out repeatedly disrupting your workout. I am so surprised at how badly these AirPods have turned out to be. They are expensive! If I had known, I never would have spent this much money. I saw others using them and just thought they would be great. THEY CAUSE PAIN AND FALL OUT REPEATEDLY. You would think that someone could design something better. I need to find something better! No sound is worth all of this suffering. My ears and head hurt hours after I remove these. Yes, it causes headaches. It’s so sad, because they have terrific sound and they look cool too. This is a BIG disappointment. My advice: Do NOT waste your money."
